formula,mp_source_index,mp_material_id,mp_dielectric_task_id,mp_nsites,matbench_index,matbench_n,matbench_nsites
AcOF,2233,mp-36526,mp-1114844,12,3356,1.8689850186665513,3
Ag2HgI4,579,mp-570256,mp-1141370,7,28,2.3173647389509777,7
Ag2HgI4,580,mp-23485,mp-1115010,14,1729,2.3073424828866074,7
Ag2PSe3,583,mp-13956,mp-1118176,48,301,3.104686242870069,48
Ag2S,607,mp-32868,mp-1114913,9,4538,3.2924825992959583,9
Ag2S,608,mp-31053,mp-1114934,6,52,2.6869483309757434,6
Ag2S,609,mp-560025,mp-1119510,6,2083,3.2960814108068788,6
Ag2Se,610,mp-568971,mp-1141311,12,2691,3.313960369909896,12
Ag3AsS3,593,mp-4431,mp-1141394,14,3850,3.2444311263079593,14
Ag3AsS4,591,mp-9538,mp-1116960,16,1622,2.9347391706930277,16
Ag3Ge5P6,566,mp-17862,mp-1140674,28,1693,4.306622806794214,28
Ag3P11,565,mp-27821,mp-1141001,14,1540,3.3905260162178577,14
Ag3PS4,589,mp-12459,mp-1116969,16,2672,2.638894149702358,16
Ag3PSe4,590,mp-30908,mp-1116956,16,2958,3.072189989784703,16
Ag3SI,605,mp-22995,mp-1115030,15,128,2.8963630067149158,5
Ag3SI,605,mp-22995,mp-1115030,15,329,2.903175330564794,5
Ag3SI,605,mp-22995,mp-1115030,15,3877,2.864542779106874,5
Ag3SI,605,mp-22995,mp-1115030,15,3957,2.9322507282518258,5
Ag3SbS3,594,mp-4515,mp-1141480,14,3862,3.5658098659389745,14
Ag3Sn2(GeP2)3,567,mp-17568,mp-1115902,28,2081,4.8699927104668115,28
Ag3SnP7,575,mp-29849,mp-1140761,22,1011,4.017005518210467,22
Ag3Te2Au,603,mp-5710,mp-1140577,24,4239,4.848814288050233,24
Ag5SbS4,604,mp-4004,mp-1117352,40,4062,3.1114061129977872,20
AgAsF6,557,mp-37153,mp-1141701,8,1507,1.5056560032092374,8
AgAuS2,572,mp-37920,mp-1117193,8,1775,2.512070062717201,8
AgBr,597,mp-866291,mp-1140250,2,3513,2.078184784854319,2
AgBr,598,mp-23231,mp-1140593,2,4503,2.6130442016927824,2
AgCl,596,mp-22922,mp-1140108,2,4608,2.3985412233272516,2
AgClO3,561,mp-775761,mp-1118105,20,3600,1.7986789596812434,20
AgClO4,558,mp-22993,mp-1115032,12,1191,1.6784913861361737,6
AgI,599,mp-684580,mp-1119650,4,1915,2.243255966967063,2
AgI,599,mp-684580,mp-1119650,4,3959,2.427352591295001,2
AgI,600,mp-567809,mp-1116686,4,1922,2.174998620689218,4
AgI,601,mp-22894,mp-1115050,4,549,2.2289628380332758,4
AgNO2,570,mp-5770,mp-1119557,8,4103,1.89030006436368,4
AgNO3,562,mp-8196,mp-1119873,15,3298,1.8141058403522161,5
AgP2,584,mp-8200,mp-1140965,12,292,3.774034092762456,12
AgPF6,556,mp-34418,mp-1141031,8,1103,1.3670726632723826,8
AgSbO3,563,mp-545999,mp-1139999,10,2679,4.152526058523801,10
Al(BH4)3,1350,mp-569787,mp-1117669,64,1479,1.4406168817558678,64
Al(HO)3,1362,mp-554002,mp-1140412,14,1348,1.620936971836557,14
Al(HO)3,1362,mp-554002,mp-1140412,14,1661,1.6175864737317756,14
Al(MoS2)4,1353,mp-554868,mp-1116932,39,4055,3.956925068787631,13
Al2(FeSi)3,1402,mp-29110,mp-1140500,16,1436,5.444967095094944,16
Al2CdO4,1416,mp-36866,mp-1116918,56,2266,1.9336020790224673,14
Al2CdS4,1417,mp-5928,mp-1141499,7,1931,2.2383008436460603,7
Al2CdSe4,1418,mp-3159,mp-1140913,7,3668,2.4790242704203873,7
Al2CdTe4,1419,mp-7909,mp-1140186,7,4548,2.822188925875327,7
Al2CoO4,1415,mp-36447,mp-1116884,56,2272,1.9025206963394636,14
Al2HgO4,1411,mp-756317,mp-1117472,56,562,2.143739489770159,14
Al2HgS4,1412,mp-7906,mp-1119864,14,2281,2.3882519409252727,7
Al2HgSe4,1413,mp-3038,mp-1142146,7,246,2.670568541216146,7
Al2HgTe4,1414,mp-7910,mp-1141089,7,151,3.054270234715106,7
Al2O3,1431,mp-7048,mp-1140716,10,3474,1.7786699150464533,10
Al2O3,1432,mp-1143,mp-1141204,10,4255,1.7939713858582833,10
Al2O3,1433,mp-755483,mp-1119717,15,560,1.8111663829330193,5
Al2Os,1449,mp-7188,mp-1141925,3,852,4.159647420954114,3
Al2Se3,1434,mp-11674,mp-1142170,10,2349,2.434216437925491,10
Al2Te5,1408,mp-9254,mp-1140983,7,299,3.0009998333909347,7
Al2ZnSe4,1422,mp-7907,mp-1140556,7,1157,2.5052069774771106,7
Al2ZnTe4,1423,mp-7908,mp-1140852,7,2031,2.874087275408781,7
Al3GaN4,1430,mp-1019378,mp-1115518,8,3284,2.2139889340283525,8
Al3NO3,1436,mp-675601,mp-1117866,28,237,1.9045086855494604,28
Al3Si2H3O10,1375,mp-24601,mp-1117720,36,3839,1.713032885459782,36
Al4C3,1447,mp-1591,mp-1142287,7,3728,2.8576213885023467,7
Al5BO9,1424,mp-3281,mp-1117662,60,3167,1.6438822950564314,30
Al5CuS8,1427,mp-35267,mp-1116872,56,1945,2.6069004583988242,14
Al5CuSe8,1428,mp-37405,mp-1116954,56,2262,2.949792196070769,14
Al6Cd4SO12,1405,mp-9203,mp-1117492,46,2520,1.8075239970744517,23
Al6Cd4TeO12,1406,mp-9535,mp-1117491,46,1625,1.8712217933745856,23
Al7Te10,1435,mp-14506,mp-1115822,34,4364,2.73236033494852,34
