formula,mp_source_index,mp_material_id,mp_dielectric_task_id,mp_nsites,matbench_index,matbench_n,matbench_nsites
AcN,639,mp-866056,mp-1119893,4,1634,2.6273773361789265,4
AcOF,3956,mp-36526,mp-1114844,12,3356,1.8689850186665513,3
Ag2GeO3,3072,mp-983589,mp-1117549,24,2140,2.8197085546796026,24
Ag2GePbS4,6579,mp-861942,mp-1117036,32,4430,2.9279896402366816,16
Ag2GeS3,4234,mp-9900,mp-1119928,24,3478,2.8442755961169914,12
Ag2H2IOF,7326,mp-690687,mp-1116871,14,4675,2.0236486849253255,14
Ag2HgI4,1163,mp-570256,mp-1141370,7,28,2.3173647389509777,7
Ag2HgI4,5088,mp-23485,mp-1115010,14,1729,2.3073424828866074,7
Ag2O3,519,mp-546190,mp-1114954,40,844,3.832268518775791,10
Ag2PSe3,3494,mp-13956,mp-1118176,48,301,3.104686242870069,48
Ag2PbO2,2214,mp-20210,mp-1142289,10,1171,2.7085241984027615,10
Ag2S,39,mp-32868,mp-1114913,9,4538,3.2924825992959583,9
Ag2S,743,mp-32884,mp-1116687,6,351,2.944857724679433,6
Ag2S,743,mp-32884,mp-1116687,6,1750,2.968741764900859,6
Ag2S,973,mp-32669,mp-1140087,6,351,2.944857724679433,6
Ag2S,973,mp-32669,mp-1140087,6,1750,2.968741764900859,6
Ag2S,995,mp-31053,mp-1114934,6,52,2.6869483309757434,6
Ag2S,998,mp-560025,mp-1119510,6,2083,3.2960814108068788,6
Ag2S,1284,mp-38511,mp-1115157,6,1783,3.945262179712099,6
Ag2Se,686,mp-754954,mp-1140254,12,2053,3.812406501585755,12
Ag2Se,1253,mp-568971,mp-1141311,12,2691,3.313960369909896,12
Ag3AsS3,2961,mp-4431,mp-1141394,14,3850,3.2444311263079593,14
Ag3AsS4,4416,mp-9538,mp-1116960,16,1622,2.9347391706930277,16
Ag3AuS2,1361,mp-34982,mp-1114880,6,2197,3.1844128187155634,6
Ag3Ge5P6,3756,mp-17862,mp-1140674,28,1693,4.306622806794214,28
Ag3P11,1311,mp-27821,mp-1141001,14,1540,3.3905260162178577,14
Ag3PS4,3742,mp-12459,mp-1116969,16,2672,2.638894149702358,16
Ag3PSe4,4381,mp-30908,mp-1116956,16,2958,3.072189989784703,16
Ag3SI,1400,mp-632480,mp-1119610,5,128,2.8963630067149158,5
Ag3SI,1400,mp-632480,mp-1119610,5,329,2.903175330564794,5
Ag3SI,1400,mp-632480,mp-1119610,5,3877,2.864542779106874,5
Ag3SI,1400,mp-632480,mp-1119610,5,3957,2.9322507282518258,5
Ag3SI,2021,mp-22995,mp-1115030,15,128,2.8963630067149158,5
Ag3SI,2021,mp-22995,mp-1115030,15,329,2.903175330564794,5
Ag3SI,2021,mp-22995,mp-1115030,15,3877,2.864542779106874,5
Ag3SI,2021,mp-22995,mp-1115030,15,3957,2.9322507282518258,5
Ag3SI,2480,mp-676561,mp-1119643,15,128,2.8963630067149158,5
Ag3SI,2480,mp-676561,mp-1119643,15,329,2.903175330564794,5
Ag3SI,2480,mp-676561,mp-1119643,15,3877,2.864542779106874,5
Ag3SI,2480,mp-676561,mp-1119643,15,3957,2.9322507282518258,5
Ag3SI,4349,mp-674981,mp-1115382,5,128,2.8963630067149158,5
Ag3SI,4349,mp-674981,mp-1115382,5,329,2.903175330564794,5
Ag3SI,4349,mp-674981,mp-1115382,5,3877,2.864542779106874,5
Ag3SI,4349,mp-674981,mp-1115382,5,3957,2.9322507282518258,5
Ag3SI,4040,mp-675879,mp-1119637,10,4400,2.941669423983599,10
Ag3SbS3,2963,mp-4515,mp-1141480,14,3862,3.5658098659389745,14
Ag3Sn2(GeP2)3,6276,mp-17568,mp-1115902,28,2081,4.8699927104668115,28
Ag3SnP7,1137,mp-29849,mp-1140761,22,1011,4.017005518210467,22
Ag3Te2Au,3885,mp-5710,mp-1140577,24,4239,4.848814288050233,24
Ag5P(S2Cl)2,6529,mp-559847,mp-1119508,24,4041,2.5537948886575315,12
Ag5SbS4,4179,mp-4004,mp-1117352,40,4062,3.1114061129977872,20
Ag8GeTe6,1411,mp-676799,mp-1117163,15,1183,4.637978618608183,15
Ag8GeTe6,1412,mp-685969,mp-1117073,15,2376,7.064418494587271,15
AgAsF6,3538,mp-37153,mp-1141701,8,1507,1.5056560032092374,8
AgAuS2,4104,mp-37920,mp-1117193,8,1775,2.512070062717201,8
AgBiS2,5219,mp-675977,mp-1119639,16,2050,5.713662339807397,8
AgBr,819,mp-866291,mp-1140250,2,3513,2.078184784854319,2
AgBr,893,mp-23231,mp-1140593,2,4503,2.6130442016927824,2
AgCl,889,mp-22922,mp-1140108,2,4608,2.3985412233272516,2
AgClO3,3342,mp-775761,mp-1118105,20,3600,1.7986789596812434,20
AgClO4,1105,mp-22993,mp-1115032,12,1191,1.6784913861361737,6
AgH4WS4N,7230,mp-643431,mp-1119624,22,2516,2.199353844503729,11
AgI,88,mp-684580,mp-1119650,4,1915,2.243255966967063,2
AgI,88,mp-684580,mp-1119650,4,3959,2.427352591295001,2
AgI,806,mp-22925,mp-1141587,2,1915,2.243255966967063,2
AgI,806,mp-22925,mp-1141587,2,3959,2.427352591295001,2
AgI,148,mp-567809,mp-1116686,4,1922,2.174998620689218,4
AgI,362,mp-22894,mp-1115050,4,549,2.2289628380332758,4
AgI,630,mp-580941,mp-1114843,8,3235,2.235916739654377,8
AgNO2,4089,mp-5770,mp-1119557,8,4103,1.89030006436368,4
AgNO3,2943,mp-8196,mp-1119873,15,3298,1.8141058403522161,5
AgNO3,2966,mp-552185,mp-1114953,30,2051,1.849484432664058,10
AgP2,380,mp-8200,mp-1140965,12,292,3.774034092762456,12
AgPF6,3537,mp-34418,mp-1141031,8,1103,1.3670726632723826,8
AgPS3,1042,mp-5470,mp-1140837,10,4152,2.310309286654056,10
AgSbO3,2111,mp-545999,mp-1139999,10,2679,4.152526058523801,10
AgSnF6,3159,mp-10809,mp-1140662,8,3633,1.895912005693654,8
Al(BH4)3,4464,mp-569787,mp-1117669,64,1479,1.4406168817558678,64
Al(HO)3,1372,mp-554002,mp-1140412,14,1348,1.620936971836557,14
Al(HO)3,1372,mp-554002,mp-1140412,14,1661,1.6175864737317756,14
Al(HO)3,1390,mp-626435,mp-1117749,28,4402,1.6199503078798436,28
Al(HO)3,1391,mp-626500,mp-1117212,14,3830,1.6035181113206465,14
Al(HO)3,3073,mp-985293,mp-1117681,28,3918,1.6940623758685314,28
Al(HO)3,4887,mp-626073,mp-1117876,56,2047,1.6014103159402964,56
Al(MoS2)4,2925,mp-554868,mp-1116932,39,4055,3.956925068787631,13
