element,atom_count
O,37960
F,8480
N,7201
H,6557
S,6197
Li,5806
P,3572
Se,3412
Na,3378
Cl,3258
K,2530
Si,2507
Te,1869
Ba,1806
Ca,1779
Br,1668
Sr,1599
Cs,1591
I,1549
Rb,1514
B,1470
Al,1433
As,1334
Sb,1207
C,1199
Zn,1196
Mn,1169
Ge,1151
Mg,1065
Cu,1037
Fe,983
Ag,946
Ga,897
Sn,891
V,879
Nb,731
Cr,694
Y,677
Bi,664
Tl,659
Cd,641
Ta,623
In,591
W,571
Ti,544
Hg,487
Be,486
Pb,473
La,440
Co,418
Zr,403
Mo,392
Au,390
Sc,378
Ni,359
Pt,344
Hf,290
Re,280
Pd,263
Sm,183
Ru,173
Rh,173
Ir,166
Nd,166
Os,163
Pr,162
Tm,147
Er,121
Lu,87
Tb,80
Ho,74
Dy,67
Tc,26
Th,25
Ce,22
Xe,21
U,11
Gd,10
Eu,10
Ac,6
