element,atom_count
O,21355
F,5593
N,5326
S,4923
Li,2943
Se,2926
H,2843
Na,2675
Cl,2573
P,2406
K,2076
Si,1730
Ba,1496
Te,1407
Sr,1395
Cs,1352
Ca,1348
Br,1271
Rb,1265
I,1264
B,1183
Al,1130
As,1087
Sb,936
Ge,877
Zn,803
Cu,790
Mg,733
Ag,681
Ga,647
Sn,598
C,585
Tl,569
Y,541
Cd,537
Bi,520
V,480
Nb,467
Mn,465
Hg,455
Ta,445
In,424
Be,404
La,380
Cr,361
Fe,352
Au,333
W,321
Pb,313
Ti,302
Sc,284
Mo,274
Ni,263
Pt,257
Zr,241
Pd,225
Co,208
Re,163
Ir,158
Hf,154
Os,153
Ru,150
Nd,135
Rh,122
Sm,118
Pr,108
Tm,76
Er,66
Ho,61
Tb,61
Lu,50
Dy,50
Th,23
Xe,21
Ce,16
Tc,14
Gd,10
Eu,10
U,7
Ac,4
