element,structure_count
O,3423
Li,1104
F,1017
S,860
P,735
N,724
Na,676
H,671
K,643
Se,533
Cl,499
Cs,477
Si,472
Ba,465
Rb,423
Te,405
Ca,399
Sr,372
Sb,364
Mn,355
Al,339
Cu,322
As,319
Mg,315
Zn,315
B,295
Ge,294
Br,294
Sn,294
I,285
Fe,282
V,282
Ag,281
C,269
Ga,246
Cr,236
Cd,221
Bi,218
Tl,204
Nb,199
Y,195
Ta,176
In,170
W,169
Ti,165
Pb,158
Co,154
Ni,149
La,142
Hg,139
Au,136
Sc,131
Pt,130
Zr,129
Be,118
Mo,114
Pd,113
Hf,81
Re,61
Ru,55
Rh,55
Ir,45
Os,40
Nd,32
Sm,30
Tm,28
Pr,27
Er,26
Ho,18
Tb,16
Dy,15
Lu,15
Tc,9
Th,9
Ce,7
Xe,6
U,4
Gd,3
Ac,2
Eu,2
