element,structure_count
O,2057
F,695
S,662
Li,565
Na,544
K,513
N,493
P,477
Se,451
Cs,416
Ba,392
Cl,389
Rb,355
H,327
Si,320
Ca,318
Sr,312
Te,307
Sb,291
Al,276
As,263
Mg,250
Zn,247
Cu,240
Br,236
I,235
B,233
Ge,227
Sn,221
Ag,219
Ga,194
Cd,190
Tl,182
Bi,181
Mn,179
V,152
Y,149
In,140
Fe,137
Cr,137
C,132
Nb,131
Ta,126
La,121
Hg,120
Pb,114
Ni,112
Ti,111
Sc,108
Au,107
W,98
Be,97
Pt,91
Zr,89
Pd,86
Mo,86
Co,79
Hf,63
Rh,44
Ru,43
Ir,43
Re,43
Os,35
Nd,24
Sm,20
Pr,19
Tm,15
Er,14
Ho,14
Tb,13
Dy,10
Th,8
Tc,7
Lu,7
Xe,6
Ce,5
Gd,3
Eu,2
U,2
Ac,1
