index,nonpolar_mpid,polar_mpid,formula,split,nonpolar_split,polar_split,ref_sp_raw_x,pred_sp_raw_x,ref_sp_folded_x,pred_sp_folded_x,ref_sp_raw_y,pred_sp_raw_y,ref_sp_folded_y,pred_sp_folded_y,ref_sp_raw_z,pred_sp_raw_z,ref_sp_folded_z,pred_sp_folded_z,ref_sp_folded_norm,pred_sp_folded_norm
0,mp-1565,mp-556605,Zr4O8,train,train,train,0.0007918780784137232,-3.516094110807003e-14,0.0007918780784137232,-3.516094112019391e-14,-0.00011312543939246363,5.122615787124314e-14,-0.00011312543939246372,5.122615787124314e-14,-51.160154615439396,-51.26516509905029,-51.160154615439396,-51.265165099050286,51.160154621692975,51.265165099050286
1,mp-570538,mp-634410,Na2N6,train,train,train,-5.899583754537455e-13,1.5468055554325458e-14,-5.899583555157676e-13,1.5468055554325458e-14,-51.82285814767851,-52.3385913640032,-51.82285814767851,-52.3385913640032,2.944047461156184e-13,1.7744912342172786e-14,2.9440478140698395e-13,1.7744912342172786e-14,51.82285814767851,52.3385913640032
2,mp-762643,mp-766664,Fe12Li12O48Si12,train,train,train,1.8969093759650076e-05,-1.8749272730497357e-14,1.896909375965008e-05,-1.8749272730497357e-14,-1.8940789747853944e-05,9.089077803188825e-14,-1.894078974785394e-05,9.089077803188825e-14,0.6414666041747993,-0.7011030613833041,0.6414666041747993,-0.7011030613833041,0.6414666047349064,0.7011030613833041
3,mp-695850,mp-632403,Cd2Cl4,train,train,train,-0.0018130997191083075,-1.6108888546430742e-14,-0.0018130997191083075,-1.6108888546430748e-14,-48.395238087140704,-48.542986971736,-48.395238087140704,-48.542986971736,-0.00013075126516648395,2.41484224296127e-15,-0.0001307512651664839,2.41484224296127e-15,48.3952381212807,48.542986971736
4,mp-21043,mp-674508,Pb4Rb4F12,train,train,train,3.9169629728467013,1.9869728532980142,3.9169629728467013,1.9869728532980142,-0.00010946364287980163,3.4329787819665654e-15,-0.00010946364287980163,3.4329787819665654e-15,-0.1256846970807226,-0.9108776476017453,-0.1256846970807226,-0.9108776476017455,3.9189788957985767,2.185808593780284
5,mp-644923,mp-554946,O192Si96,train,train,train,5.7004872566492646e-06,-1.0917669877369683e-14,5.700487256649264e-06,-1.0917669877369683e-14,8.649417811605586e-06,-6.642253080345509e-14,8.649417811605585e-06,-6.642253080345509e-14,0.026273726416854326,-0.2086896641594212,0.026273726416854326,-0.2086896641594212,0.026273728458970042,0.2086896641594212
6,mp-772617,mp-778973,Zn8N16O48,train,train,train,2.559051004518242e-07,1.0513860477222695e-14,2.5590510045182684e-07,1.0513860477222695e-14,1.868130935415483e-05,-2.3695380010778365e-07,1.8681309354154834e-05,-2.369538001077836e-07,-1.1171410274905154,-0.8773745650334945,-1.1171410274905154,-0.8773745650334945,1.117141027646743,0.8773745650335265
7,mp-554236,mp-39460,Ca10Cl2O24P6,train,train,train,-7.910060791698285e-13,5.285494748590334e-14,-7.910060807502724e-13,5.285494748590334e-14,1.582012025937819e-12,-6.0414067745024775e-15,1.5820120215631835e-12,-6.0414067745024775e-15,-2.131636445108622,-8.649713698115026,-2.131636445108622,-8.649713698115024,2.131636445108622,8.649713698115024
8,mvc-12752,mp-715584,Mo4O12,train,train,train,-4.563063076034359,-2.5079429359986123,-4.563063076034359,-2.507942935998612,0.0012060631753315065,1.0780656784122402e-14,0.0012060631753315065,1.07806567841224e-14,0.9448726454234088,1.0196666415818096,0.9448726454234088,1.0196666415818099,4.659863775533139,2.7073045322202054
9,mp-559354,mp-558920,Na8Nb8O24,train,train,train,5.12773379396531e-13,-7.604049544835537e-05,5.127733793965311e-13,-7.604049544835538e-05,-6.320009287275005e-05,-2.7014376768599298e-14,-6.320009287275005e-05,-2.7014376768599317e-14,31.48227897981157,30.865474515814714,31.48227897981157,30.865474515814714,31.48227897987501,30.86547451590838
10,mp-625821,mp-625871,Sr4H16O24,train,train,train,-9.777349506198947,-8.80203434192149,-9.777349506198945,-8.802034341921491,3.618034151921878e-05,1.9712678030927597e-14,3.6180341519218785e-05,1.9712678030927597e-14,-2.8192115567075295,-1.58255213344365,-2.8192115567075295,-1.5825521334436492,10.17568263897568,8.943169450001065
11,mp-771046,mp-776410,Mg8N16O48,train,train,train,-3.972326366984717e-13,-4.693688979624454e-14,-3.972326367903204e-13,-4.693688979624454e-14,1.8524066626321936e-05,-6.462504395548713e-08,1.8524066626321936e-05,-6.462504395548715e-08,0.7350026798511833,0.3050635961608664,0.7350026798511833,0.3050635961608663,0.7350026800846117,0.30506359616087314
12,mp-32777,mp-32662,W6O18,train,train,train,0.0009552262647664212,2.1001262440235177e-14,0.0009552262647664211,2.1001262440235177e-14,0.0006371318081562386,2.7035320913729345e-14,0.0006371318081562385,2.7035320913729345e-14,-21.032268899578003,-15.55333487403527,-21.032268899578003,-15.553334874035269,21.03226893092018,15.553334874035269
13,mp-765966,mp-765122,Li4V4F24,train,train,train,0.0,-2.864977583920954e-14,0.0,-2.864977583920954e-14,4.701875802664748e-13,1.2930562643150439e-14,4.701875802664748e-13,1.2930562644894377e-14,-1.269466544340647,3.275998642214827,-1.269466544340647,3.275998642214827,1.269466544340647,3.275998642214827
14,mp-13178,mp-661,Al2N2,valid,test,valid,-0.008247711898985823,2.834083777400295e-15,-0.008247711898985823,2.834083777400295e-15,-0.007402691952657947,3.685935208241866e-14,-0.007402691952657947,3.685935208241866e-14,133.00769591055547,119.00744184757104,133.00769591055547,119.00744184757104,133.00769637227538,119.00744184757104
15,mp-723540,mp-696998,Bi2K12Cl16F8H6,train,train,train,-3.8473260612752103e-13,-9.813346661798636e-11,-3.8473260612752103e-13,-9.813346661798636e-11,0.0,4.2924663864471927e-11,-7.89934068638246e-29,4.292466386447192e-11,-0.07480512695101069,-0.021676895932243135,-0.07480512695101069,-0.021676895932243135,0.07480512695101069,0.021676895932243135
16,mp-560098,mp-230,O16Sb8,train,train,train,-1.943609797710932e-13,1.1424560542561529e-14,-1.9436097977109323e-13,1.1424560542561529e-14,6.870745698680878e-13,-1.8496449002526026e-14,6.870745698680878e-13,-1.8496449002526026e-14,-4.578305344874218,-3.352317380666891,-4.578305344874218,-3.352317380666891,4.578305344874218,3.352317380666891
17,mp-31939,mp-766735,Li4Mn4O16P4,valid,test,valid,-0.00015510088025202598,3.2401705138712186e-14,-0.000155100880252026,3.2401705138712186e-14,5.1700293504540824e-05,3.8267496004067834e-14,5.1700293504540824e-05,3.8267496004067834e-14,5.334982773858297,3.915704956557977,5.334982773858297,3.9157049565579767,5.334982776363384,3.9157049565579767
18,mp-10948,mp-554089,O8Si4,train,train,train,-3.190030730087208e-13,-6.648068685657283e-14,-3.1900298057088225e-13,-6.648068685657283e-14,0.0,-2.013377595392148e-14,0.0,-2.0133775953921474e-14,-89.92783660693627,-92.97719787532962,-89.92783660693627,-92.97719787532962,89.92783660693627,92.97719787532962
19,mp-19138,mp-19241,Ba2Ni2O6,train,train,train,0.00010019917816557312,9.751755429849215e-15,0.00010019917816557312,9.751755429849215e-15,-0.00027046575644069004,-2.476222648357651e-14,-0.00027046575644069004,-2.476222648357651e-14,-3.7300560859787444,-4.711706930657577,-3.7300560859787444,-4.711706930657577,3.730056097130266,4.711706930657577
20,mp-653454,mp-618177,K8Zn4Cl16,train,valid,train,-7.239636160995649e-13,5.1224088017340486e-15,-7.239636172534141e-13,5.1224087997602405e-15,1.3578711398874656e-12,-1.8694546588507113e-15,1.3578711393265586e-12,-1.8694546588507113e-15,-2.2306732805132294,-1.6149463526597527,-2.2306732805132294,-1.6149463526597527,2.2306732805132294,1.6149463526597527
21,mp-19703,mp-566511,Ba8Cr4O16,train,train,train,9.633473341834516e-05,-8.334391024009541e-15,9.633473341834516e-05,-8.334391024009541e-15,-3.2111578035028376e-05,1.0556022917691486e-14,-3.2111578035028376e-05,1.0556022917691486e-14,2.7021511453515727,2.4459607299913224,2.7021511453515727,2.4459607299913224,2.702151147259596,2.4459607299913224
22,mp-23891,mp-626000,Na2H2O2,train,train,train,-0.0002486527868514795,-7.128473331942012e-14,-0.00024865278685147957,-7.128473331942012e-14,10.70457763488585,10.47668148145632,10.704577634885847,10.47668148145632,-0.00030687067568401026,2.622902677963506e-15,-0.00030687067568401026,2.622902677963506e-15,10.704577642172348,10.47668148145632
23,mp-625148,mp-625175,Cl4H12O20,train,train,train,5.433712833494041e-13,-7.627443398434028e-15,5.43371283349404e-13,-7.627443398434028e-15,4.236502954182743e-13,-1.2371355158615892e-15,4.236502954182743e-13,-1.2371355158615892e-15,5.234242859684046,2.806569004672077,5.234242859684046,2.806569004672077,5.234242859684046,2.806569004672077
24,mp-23876,mp-24468,H32N8O16S4,train,train,train,3.4779884094572053e-13,-1.704271938490381e-15,3.4779884094572053e-13,-1.704271938490381e-15,-9.13808854119685e-13,-8.350974297353708e-15,-9.13808854119685e-13,-8.35097429735371e-15,-0.0017976311300179515,0.26225676591258795,-0.0017976311300179303,0.26225676591258795,0.0017976311300179303,0.26225676591258795
25,mp-779986,mp-779941,Cr4O12,train,train,train,0.0,-2.372137310826581e-15,0.0,-2.3721373108265807e-15,2.349830977520012e-13,8.584141958825643e-16,2.349830977520012e-13,8.584141958825643e-16,-0.37053145592128117,-0.9041752963219415,-0.37053145592128117,-0.9041752963219415,0.37053145592128117,0.9041752963219415
26,mp-558238,mp-27925,Er16K8F56,train,train,train,-1.2907134319624847e-05,1.467257636058629e-14,-1.2907134319624847e-05,1.467257636058629e-14,2.5839139611985175e-05,7.354158383230612e-15,2.5839139611985185e-05,7.354158383230612e-15,-1.5272754891465237,-1.543581766309467,-1.527275489146524,-1.5435817663094669,1.5272754894196428,1.5435817663094669
27,mp-19727,mp-619032,Pb4C4N8,train,train,train,0.005199489999821463,9.78117570809907e-15,0.005199489999821463,9.78117570809907e-15,-1.041034003339282e-12,-5.879539903007618e-15,-1.0410340033392822e-12,-5.8795399030076175e-15,10.54311170114484,11.014355396761284,10.54311170114484,11.014355396761284,10.543112983247097,11.014355396761284
28,mp-561102,mp-556892,Bi4In4O12,test,train,test,0.0008807680109594048,1.2401339600363617e-07,0.0008807680109594048,1.2401339600363617e-07,0.00022019200242271274,4.6396726910152665e-08,0.00022019200242271274,4.6396726910152665e-08,64.74323865499969,56.013322919597265,64.74323865499969,56.013322919597265,64.74323866136511,56.013322919597265
29,mp-868359,mp-761551,Li4Mn4O16P4,train,valid,train,5.015607435894925e-05,1.9746266179520794e-05,5.0156074358949274e-05,1.974626617952079e-05,-0.0010031214920670172,-1.7602668869739417e-14,-0.0010031214920670172,-1.760266886973942e-14,-23.169574554193826,-18.72013346491264,-23.169574554193826,-18.72013346491264,23.169574575963072,18.72013346492305
30,mp-868359,mp-766735,Li4Mn4O16P4,train,test,train,0.00010351176132685596,-3.011245527518581e-14,0.00010351176132685597,-3.011245527518581e-14,0.0002070235255993677,1.7972779926460363e-14,0.0002070235255993677,1.7972779926460363e-14,5.323780451601127,3.7932464907599432,5.323780451601127,3.7932464907599432,5.323780456632648,3.7932464907599432
31,mp-777588,mp-777471,Fe4Li8F16,train,train,train,-0.0007210723776190462,-1.744744480041029e-14,-0.0007210723776190462,-1.744744480041029e-14,1.4102731701325815e-12,2.4705292027096395e-14,1.4102731701325817e-12,2.4705292026846077e-14,57.16981833883429,59.02858414190753,57.16981833883429,59.02858414190753,57.169818343381664,59.02858414190753
32,mp-767620,mp-767103,Li4V4O16Si4,train,train,train,0.0,7.476268149215961e-14,5.757806123249151e-21,7.47626814921596e-14,8.872122579566493e-05,-8.628098155963295e-14,8.872122579566486e-05,-8.628098155963295e-14,-1.6973644967870398,-0.5837969045273538,-1.6973644967870398,-0.5837969045273542,1.6973644991057686,0.5837969045273542
33,mp-761401,mp-761399,Cr4Li4O16P4,train,valid,train,-9.954761211307947e-13,-2.6231023117774082e-14,-9.9547612853097e-13,-2.6231023117774082e-14,4.411634112734643e-05,-2.689910984207366e-14,4.411634112734643e-05,-2.689910984207366e-14,-38.15451548179942,-37.85197424712266,-38.15451548179942,-37.85197424712266,38.15451548182493,37.85197424712266
34,mp-765913,mp-766763,Fe4Li4O16P4,train,test,train,0.00017443139705809412,-2.3202085247504887e-14,0.00017443139705809412,-2.3202085247504887e-14,4.360784868353763e-05,1.8735516925187972e-14,4.360784868353762e-05,1.873551692518797e-14,-25.220578909582013,-23.1380335420058,-25.220578909582013,-23.1380335420058,25.22057891022292,23.1380335420058
35,mp-765871,mp-780646,Li4Mn4O16P4,train,train,train,-4.777265478693655e-05,-2.3281635786449703e-14,-4.777265478693655e-05,-2.32816357864497e-14,4.777265290430866e-05,-6.390065422377088e-15,4.7772652904308644e-05,-6.390065422377088e-15,-13.017094726918302,-13.375176108247393,-13.017094726918303,-13.375176108247393,13.01709472709363,13.375176108247393
36,mp-733653,mp-24603,Al8Ca4H16O40Si8,train,train,train,2.59863604582635e-12,6.704672292324367e-14,2.5986360458263504e-12,6.704672292370753e-14,0.0,9.02152174244238e-14,1.579868137276492e-28,9.021521742015089e-14,-4.198842812960206,-3.747885049211543,-4.198842812960207,-3.747885049211543,4.198842812960207,3.747885049211543
37,mp-644506,mp-699136,Al4Na4C4H8O20,test,train,test,1.2760438308908958e-12,-7.958171273755767e-14,1.276043830890896e-12,-7.958171273755767e-14,1.7854035008255812e-12,-5.340196042057172e-14,1.7854035008255812e-12,-5.340196042057172e-14,-0.7596517521255409,0.31492207623040336,-0.7596517521255409,0.31492207623040336,0.7596517521255409,0.31492207623040336
38,mp-7905,mp-554089,O8Si4,valid,train,valid,1.595015365043604e-13,1.606662355495348e-14,1.595015326947035e-13,1.606662355495348e-14,2.209271864631762e-13,-2.7318622300881507e-14,2.2092719315161676e-13,-2.7318622300881504e-14,89.04400638706974,85.99468059170566,89.04400638706974,85.99468059170565,89.04400638706974,85.99468059170565
39,mp-765871,mp-867520,Li4Mn4O16P4,train,valid,train,4.271882815575936e-05,1.1150199712711175e-14,4.2718828155759376e-05,1.1150199712711175e-14,1.1138570087263467e-12,-1.535200935941122e-14,1.1138570063772896e-12,-1.5352009359411213e-14,-24.597299861587064,-26.495296852119225,-24.597299861587064,-26.495296852119225,24.59729986162416,26.495296852119225
40,mp-36216,mp-32669,Ag8S4,train,train,train,-6.216410569518926e-05,-4.5982316123742725e-17,-6.216410569518926e-05,-4.598231612374276e-17,0.0003108205281873695,3.631613254213472e-14,0.00031082052818736956,3.631613254213472e-14,0.3976053907185645,-2.7629775526889455,0.3976053907185646,-2.7629775526889455,0.39760551706715436,2.7629775526889455
41,mp-12286,mp-13664,Sr8Ta8O28,train,train,train,-0.00010094870799565186,3.1940215215437216e-16,-0.00010094870799565185,3.1940215215437216e-16,-3.966039663653825e-12,5.2479751492870286e-14,-3.966039663653825e-12,5.2479751492870305e-14,2.9891032268702062,1.7018110978054628,2.9891032268702062,1.7018110978054628,2.9891032285748382,1.7018110978054628
42,mp-21283,mp-21521,Cs8Pb4O12,test,train,test,0.0,1.3087029056790145e-14,2.2622499177004007e-21,1.3087029056790145e-14,5.614072854277567e-05,-4.209281087936549e-05,5.614072854277569e-05,-4.209281087936549e-05,7.218217481091107,5.945751692168831,7.218217481091107,5.945751692168831,7.218217481309428,5.945751692317828
43,mp-32791,mp-32669,Ag8S4,train,train,train,-0.00036842112878059775,-1.0929821125010063e-15,-0.00036842112878059775,-1.0929821125010063e-15,-0.0004823693859486676,2.3728830489637617e-14,-0.00048236938594866795,2.3728830489637617e-14,-48.8741438713209,-50.06372728572774,-48.8741438713209,-50.06372728572773,48.87414387508991,50.06372728572773
44,mp-568392,mp-568386,Ag80Br24Te32,train,train,train,-4.592382283242566e-06,1.250023286844199e-14,-4.592382283242567e-06,1.2500232869451684e-14,-4.592376428192212e-06,-2.550139517328591e-14,-4.592376428192212e-06,-2.550139517328591e-14,-3.8627579897329203,-2.8529361766539667,-3.8627579897329203,-2.8529361766539676,3.86275798973838,2.8529361766539676
45,mp-634105,mp-632229,Br4H4,train,test,train,0.000367923149361626,-2.7149768325928382e-17,0.000367923149361626,-2.7149768325928382e-17,0.0032377237138326454,5.159233884874872e-15,0.0032377237138326454,5.159233884874872e-15,-72.51796231712734,-63.84214909014614,-72.51796231712734,-63.84214909014614,72.51796239033833,63.84214909014614
46,mvc-14740,mvc-3460,Y6O18Sb6,train,train,train,0.00019404432872591198,-3.678070508123555e-15,0.00019404432872591198,-3.678070508123555e-15,-0.00015786391625255004,9.453618742028133e-15,-0.00015786391625255004,9.453618742028133e-15,7.52254490076925,31.25498076191969,7.52254490076925,31.254980761919683,7.522544904928362,31.254980761919683
47,mp-2175,mp-558134,Tl4F4,train,test,train,-0.0006840836184361206,7.985896169962789e-16,-0.0006840836184361206,7.985896169962797e-16,8.551045197362087e-05,1.0079038019289136e-16,8.551045197362086e-05,1.0079038019289136e-16,6.371883203932728,5.317435487981291,6.371883203932728,5.3174354879812915,6.371883241228016,5.3174354879812915
48,mp-545760,mp-551176,Rb8C2O8,train,valid,train,5.0160852040828165e-05,1.3520200076115137e-14,5.0160852040828165e-05,1.3520200076115137e-14,14.604929954260477,15.235450478710463,14.604929954260477,15.235450478710467,-0.0004177706648697081,-1.6575776828636525e-14,-0.0004177706648697081,-1.6575776828636525e-14,14.604929960321734,15.235450478710467
49,mp-626414,mp-626435,Al4H12O12,train,train,train,0.02051981385279092,0.146382611384859,0.02051981385279092,0.146382611384859,0.011301673775288238,0.017419908894095008,0.01130167377528824,0.01741990889409501,0.11123400201306487,-0.13542234443018492,0.11123400201306487,-0.13542234443018494,0.11367406825885465,0.2001762561161959
50,mp-625447,mp-625452,Pr2H6O6,train,train,train,0.15567995439022986,0.26093414290231315,0.15567995439022986,0.26093414290231315,-1.521224476276211e-13,-4.186766659188221e-16,-1.521224476276211e-13,-4.186766659188221e-16,0.034081824839948247,0.11964030597646227,0.03408182483994825,0.1196403059764623,0.1593669319004572,0.2870547504332689
51,mp-690733,mp-625445,H8O16S4,train,train,train,51.4709376409257,51.69084596539011,51.4709376409257,51.69084596539011,-4.7910331728103564e-05,-4.761299505518826e-14,-4.7910331728103564e-05,-4.761299505518826e-14,1.453342215349809,-0.6414243180892696,1.453342215349809,-0.6414243180892722,51.49145196276053,51.694825483538715
52,mp-555729,mp-600236,Cu8C24H40N16S12,train,train,train,7.442338891956812e-06,8.096872493446958e-07,7.442338891956812e-06,8.096872493446958e-07,0.016473259204833137,-0.5020719602386227,0.016473259204833137,-0.5020719602386227,5.522193233818259e-13,-2.3917560297872953e-06,5.522193233818258e-13,-2.3917560297872953e-06,0.016473260885994243,0.5020719602449725
53,mp-3828,mp-4202,Al16Ba8O32,valid,train,valid,5.599876410307173e-13,-1.7676839789770547e-09,5.599876410307173e-13,-1.7676839789770543e-09,-5.599876238359911e-13,8.017369768647532e-10,-5.599876238359911e-13,8.017369768647533e-10,0.3176415351160401,0.3928491118962605,0.31764153511604004,0.3928491118962605,0.31764153511604004,0.3928491118962605
54,mp-625513,mp-625526,H4O8Te2,train,train,train,0.28027767771336326,0.26925033461124265,0.28027767771336326,0.26925033461124265,-0.0001105962535561934,1.99640175105937e-15,-0.0001105962535561934,1.99640175105937e-15,-21.84097283552955,-22.581180074078624,-21.84097283552955,-22.58118007407862,21.842771115204123,22.58278524187514
55,mp-561388,mp-24942,Bi3Fe3O9,train,train,train,0.052564133517390026,3.342145584330527e-05,0.052564133517390026,3.342145584330527e-05,-0.0520875359876147,-7.75540140997189e-05,-0.0520875359876147,-7.75540140997189e-05,-124.5253535889267,-91.55079851881428,-124.5253535889267,-91.55079851881428,124.5253755768147,91.55079851885323
56,mp-605824,mp-562815,Cs12C3O12,train,train,train,0.012697586735336953,-0.000157670323469706,0.012697586735336953,-0.000157670323469706,-0.013124509665216754,7.044300274307727e-05,-0.013124509665216754,7.044300274307727e-05,-1.694739547769397,-1.5690078891204893,-1.694739547769397,-1.5690078891204893,1.6948379321446856,1.569007898623994
57,mp-27773,mp-625256,H20I4O24,train,valid,train,-0.3742763859767307,-0.506020860500409,-0.3742763859767307,-0.506020860500409,0.0,4.693929837178296e-06,0.0,4.693929837178297e-06,-0.2376793579160598,-0.6872798617313397,-0.2376793579160598,-0.6872798617313397,0.4433669927714434,0.8534698117830863
58,mp-705495,mp-560899,Ca4B12H20O32,test,train,test,9.736097274551912e-13,-8.618373089082083e-15,9.736097274551914e-13,-8.618373089082083e-15,-0.6164959473584174,-1.2241797083287764,-0.6164959473584174,-1.2241797083287764,-6.992266422067136e-13,5.319559497866622e-14,-6.992266422067136e-13,5.319559497866622e-14,0.6164959473584174,1.2241797083287764
59,mp-545379,mp-556892,Bi4In4O12,train,valid,train,0.0008807680107231736,1.2401337138430267e-07,0.0008807680107231736,1.2401337138430267e-07,0.00022019200219931353,4.639669606653771e-08,0.00022019200219931353,4.639669606653771e-08,64.7430067854333,56.0133223237552,64.74300678543328,56.0133223237552,64.74300679179873,56.0133223237552
60,mp-626449,mp-626450,H12O16P4,train,train,train,-3.401291182552836,-3.403118289059258,-3.401291182552836,-3.4031182890592575,-5.211610149502347e-13,-9.887327150431667e-15,-5.211610149502347e-13,-9.887327150431667e-15,-2.5509589502353625,-3.14595492177339,-2.5509589502353625,-3.1459549217733898,4.251608316190189,4.634462909459932
61,mp-29764,mp-677103,Rb4F8H4,train,train,train,0.0,-1.8386259489481995e-15,0.0,-1.838625948948197e-15,-6.057537331241251e-05,1.3602475768313846e-15,-6.05753733124125e-05,1.3602475768313838e-15,1.550994260746456,2.19955180115648,1.5509942607464562,2.19955180115648,1.550994261929367,2.19955180115648
62,mp-551736,mp-545630,K12C3O12,valid,train,valid,0.017225503518266103,2.0664775672126997e-05,0.017225503518266103,2.0664775672126997e-05,-0.015333945347224936,2.0600369815916466e-05,-0.015333945347224936,2.0600369815916466e-05,-14.589177033647776,-9.99182378480934,-14.589177033647776,-9.99182378480934,14.589195261115915,9.991823784851945
63,mp-763372,mp-763531,Li4W8O48P12,train,train,train,-0.00017663777141500067,8.351110613782384e-15,-0.00017663777141500067,8.351110613782387e-15,-5.060376038959745,-2.74665584843843,-5.060376038959745,-2.7466558484384294,5.96273158375099e-05,2.4569092394699677e-14,5.96273158375099e-05,2.4569092394699677e-14,5.060376042393909,2.7466558484384294
64,mp-546320,mp-550314,Rb12C3O12,test,train,test,0.004750482671068646,0.00047583749920337976,0.004750482671068646,0.00047583749920337976,-0.004649118034128695,-0.00027462251743562915,-0.004649118034128695,-0.00027462251743562915,-0.5984995335269703,-0.5789912513452472,-0.5984995335269704,-0.5789912513452472,0.598536442512989,0.5789915120044403
65,mp-7087,mp-555235,O16Si8,train,train,train,0.021609133973318557,-0.24754390484492556,0.021609133973318557,-0.24754390484492556,-4.167645371655911e-05,2.902268926201613e-14,-4.167645371655911e-05,2.902268926201613e-14,-0.06398796791146878,0.3906030463639242,-0.0639879679114688,0.3906030463639242,0.06753825912357221,0.4624378062557726
66,mp-568986,mp-27181,Au4K4Cl16,train,test,train,-0.21895072133595275,-0.17622463668144006,-0.21895072133595275,-0.17622463668144006,4.019599207470269e-13,7.53424132780773e-17,4.019599207470269e-13,7.53424132780773e-17,0.14271563422399425,0.1500506213067711,0.14271563422399425,0.1500506213067711,0.26135640536533816,0.23145261184107122
67,mp-540020,mp-762896,Fe16Li4O48P12,train,train,train,-4.911714852980622,-3.8168727733314562,-4.911714852980623,-3.8168727733314562,1.7209439705071294e-05,2.3184062755430665e-14,1.7209439705071294e-05,2.3184062755430665e-14,-17.760692645671316,-18.075044077676235,-17.760692645671316,-18.075044077676235,18.427347775827368,18.473649779557306
68,mp-558226,mp-557082,H24O12,train,train,train,0.0,3.288455230686836e-14,0.0,3.288455230686836e-14,-13.473414586149497,-13.1555032610672,-13.473414586149497,-13.1555032610672,-7.007459974162013e-13,1.1435634595258069e-14,-7.007459974162013e-13,1.1435634595258069e-14,13.473414586149497,13.1555032610672
69,mp-551886,mp-552623,Na12C3O12,train,valid,train,-0.001050325485965415,-0.0002539420882521405,-0.001050325485965415,-0.0002539420882521405,0.000830256192989294,0.00014867644670049914,0.000830256192989294,0.00014867644670049914,-3.5549346204878916,-4.028100503542229,-3.554934620487891,-4.028100503542229,3.5549348726034853,4.028100514290629
