index,nonpolar_mpid,polar_mpid,formula,split,nonpolar_split,polar_split
0,mp-1565,mp-556605,Zr4O8,train,train,train
1,mp-570538,mp-634410,Na2N6,train,train,train
2,mp-762643,mp-766664,Fe12Li12O48Si12,train,train,train
3,mp-695850,mp-632403,Cd2Cl4,train,train,train
4,mp-21043,mp-674508,Pb4Rb4F12,train,train,train
5,mp-644923,mp-554946,O192Si96,train,train,train
6,mp-772617,mp-778973,Zn8N16O48,train,train,train
7,mp-554236,mp-39460,Ca10Cl2O24P6,train,train,train
8,mvc-12752,mp-715584,Mo4O12,train,train,train
9,mp-559354,mp-558920,Na8Nb8O24,train,train,train
10,mp-625821,mp-625871,Sr4H16O24,train,train,train
11,mp-771046,mp-776410,Mg8N16O48,train,train,train
12,mp-32777,mp-32662,W6O18,train,train,train
13,mp-765966,mp-765122,Li4V4F24,train,train,train
14,mp-13178,mp-661,Al2N2,valid,test,valid
15,mp-723540,mp-696998,Bi2K12Cl16F8H6,train,train,train
16,mp-560098,mp-230,O16Sb8,train,train,train
17,mp-31939,mp-766735,Li4Mn4O16P4,valid,test,valid
18,mp-10948,mp-554089,O8Si4,train,train,train
19,mp-19138,mp-19241,Ba2Ni2O6,train,train,train
20,mp-653454,mp-618177,K8Zn4Cl16,train,valid,train
21,mp-19703,mp-566511,Ba8Cr4O16,train,train,train
22,mp-23891,mp-626000,Na2H2O2,train,train,train
23,mp-625148,mp-625175,Cl4H12O20,train,train,train
24,mp-23876,mp-24468,H32N8O16S4,train,train,train
25,mp-779986,mp-779941,Cr4O12,train,train,train
26,mp-558238,mp-27925,Er16K8F56,train,train,train
27,mp-19727,mp-619032,Pb4C4N8,train,train,train
28,mp-561102,mp-556892,Bi4In4O12,test,train,test
29,mp-868359,mp-761551,Li4Mn4O16P4,train,valid,train
30,mp-868359,mp-766735,Li4Mn4O16P4,train,test,train
31,mp-777588,mp-777471,Fe4Li8F16,train,train,train
32,mp-767620,mp-767103,Li4V4O16Si4,train,train,train
33,mp-761401,mp-761399,Cr4Li4O16P4,train,valid,train
34,mp-765913,mp-766763,Fe4Li4O16P4,train,test,train
35,mp-765871,mp-780646,Li4Mn4O16P4,train,train,train
36,mp-733653,mp-24603,Al8Ca4H16O40Si8,train,train,train
37,mp-644506,mp-699136,Al4Na4C4H8O20,test,train,test
38,mp-7905,mp-554089,O8Si4,valid,train,valid
39,mp-765871,mp-867520,Li4Mn4O16P4,train,valid,train
40,mp-36216,mp-32669,Ag8S4,train,train,train
41,mp-12286,mp-13664,Sr8Ta8O28,train,train,train
42,mp-21283,mp-21521,Cs8Pb4O12,test,train,test
43,mp-32791,mp-32669,Ag8S4,train,train,train
44,mp-568392,mp-568386,Ag80Br24Te32,train,train,train
45,mp-634105,mp-632229,Br4H4,train,test,train
46,mvc-14740,mvc-3460,Y6O18Sb6,train,train,train
47,mp-2175,mp-558134,Tl4F4,train,test,train
48,mp-545760,mp-551176,Rb8C2O8,train,valid,train
49,mp-626414,mp-626435,Al4H12O12,train,train,train
50,mp-625447,mp-625452,Pr2H6O6,train,train,train
51,mp-690733,mp-625445,H8O16S4,train,train,train
52,mp-555729,mp-600236,Cu8C24H40N16S12,train,train,train
53,mp-3828,mp-4202,Al16Ba8O32,valid,train,valid
54,mp-625513,mp-625526,H4O8Te2,train,train,train
55,mp-561388,mp-24942,Bi3Fe3O9,train,train,train
56,mp-605824,mp-562815,Cs12C3O12,train,train,train
57,mp-27773,mp-625256,H20I4O24,train,valid,train
58,mp-705495,mp-560899,Ca4B12H20O32,test,train,test
59,mp-545379,mp-556892,Bi4In4O12,train,valid,train
60,mp-626449,mp-626450,H12O16P4,train,train,train
61,mp-29764,mp-677103,Rb4F8H4,train,train,train
62,mp-551736,mp-545630,K12C3O12,valid,train,valid
63,mp-763372,mp-763531,Li4W8O48P12,train,train,train
64,mp-546320,mp-550314,Rb12C3O12,test,train,test
65,mp-7087,mp-555235,O16Si8,train,train,train
66,mp-568986,mp-27181,Au4K4Cl16,train,test,train
67,mp-540020,mp-762896,Fe16Li4O48P12,train,train,train
68,mp-558226,mp-557082,H24O12,train,train,train
69,mp-551886,mp-552623,Na12C3O12,train,valid,train
70,mp-766952,mp-764895,Li2V2F8,train,valid,train
71,mp-626605,mp-626587,Al8H24O24,train,train,train
72,mp-625541,mp-625789,Sn24H16O32,train,valid,train
73,mp-554355,mp-560030,Ca2F4,train,valid,train
74,mp-2998,mp-5986,BaTiO3,train,train,train
75,mp-7648,mp-555891,O8Si4,train,train,train
76,mp-551886,mp-552941,Na12C3O12,train,train,train
77,mp-558351,mp-557881,O48Si24,train,train,train
78,mp-551886,mp-645295,Na8C2O8,train,train,train
79,mp-550679,mp-551176,Rb8C2O8,train,train,train
80,mp-653454,mp-647575,K24Zn12Cl48,train,train,train
81,mp-608314,mp-568350,Rb24Zn12Cl48,train,train,train
82,mp-23617,mp-23087,Mg12B28Cl4O52,train,train,train
83,mp-566691,mp-579770,Cr12B28Cl4O52,train,valid,train
84,mp-15248,mp-557711,K12Nb12B8O48,train,valid,train
85,mp-557954,mp-541950,Ga2N10O28,test,valid,test
86,mp-23930,mp-721896,C4H16N8S4,valid,train,valid
87,mvc-15941,mvc-3479,Bi6Y6O18,train,train,train
88,mp-5226,mp-557025,K24O48Se12,train,valid,train
89,mp-935811,mp-5246,K2Nb2O6,train,train,train
90,mp-550008,mp-555313,Bi8Sc8O24,train,valid,train
91,mp-567075,mp-25708,Bi8Mo4O24,train,train,train
92,mp-559313,mp-557264,O32Si16,train,train,train
93,mp-551740,mp-550320,Li8C2O8,train,train,train
94,mp-551848,mp-550320,Li8C2O8,train,test,train
95,mp-626104,mp-626114,U3H2O10,train,train,train
96,mp-546707,mp-13274,Na8C2O8,train,test,train
97,mp-626062,mp-626114,U3H2O10,train,train,train
98,mp-557911,mp-541732,Al12Pb20F76,train,train,train
99,mp-554675,mp-23089,Bi8Sr4Ta8O36,train,test,train
100,mp-754165,mp-769079,Ga6Sc6O18,train,train,train
101,mp-5811,mp-20282,Cs6Pb6F18,valid,train,valid
102,mp-32791,mp-38511,Ag4S2,train,train,train
103,mp-23680,mp-675395,C16H8O16,train,test,train
104,mp-770536,mp-868263,Li4V2F10H4O2,train,train,train
105,mp-604245,mp-24614,Be8F32H64N16,train,test,train
106,mp-625316,mp-625318,Al2H6O6,train,test,train
107,mp-720982,mp-24614,Be8F32H64N16,train,train,train
108,mvc-14312,mp-765140,V4F20,train,train,train
109,mvc-14312,mp-766786,V4F20,train,test,train
110,mp-547898,mp-551176,Rb8C2O8,train,train,train
111,mp-23335,mp-23427,Bi16Ti12O48,test,train,test
112,mp-762173,mp-763217,Li4Ni4O16P4,train,train,train
113,mp-35171,mp-752467,Nb4F4O8,train,train,train
114,mp-644431,mp-29246,Cd8Cl4P12,train,train,train
115,mp-566761,mp-566776,Cr4O36P12,train,test,train
116,mp-690733,mp-625474,H8O16S4,train,train,train
117,mp-706912,mp-695383,K8H4N4O24S8,train,test,train
118,mp-985582,mp-950995,Li24I4P4S20,train,train,train
119,mp-935811,mp-4342,KNbO3,train,train,train
120,mp-4551,mp-13108,HfSrO3,train,train,train
121,mp-19845,mp-20459,PbTiO3,train,train,train
122,mp-540728,mp-559112,K4Zn12O14,train,train,train
123,mp-676561,mp-22995,Ag9I3S3,train,test,train
124,mp-559091,mp-555891,O8Si4,test,train,test
125,mp-28421,mp-567594,Cs4Hg2I8,train,train,train
126,mp-655613,mp-646007,Cs4Tb12N4Te14,train,train,train
127,mp-634101,mp-632326,Cl4H4,train,train,train
128,mp-567326,mp-25708,Bi8Mo4O24,train,valid,train
129,mp-550893,mp-685097,Hf4O8,train,train,train
130,mp-18074,mp-18511,Nd6F18,train,valid,train
131,mp-632711,mp-504535,In2H2O4,test,train,test
132,mp-22734,mp-669414,Hf8Pb8O24,valid,test,valid
133,mp-557687,mp-558579,Tl4C4H4O8,train,train,train
134,mp-32425,mp-765022,Li12V12O48P12,valid,train,valid
135,mp-542903,mp-647557,Pb8Zr8O24,valid,train,valid
136,mp-3612,mp-3491,Nb4O16Sb4,train,train,train
137,mp-559607,mp-6706,Ti8Tl8O40P8,valid,train,valid
138,mp-568001,mp-570828,Al8Hg16Cl32Sb8,train,train,train
139,mp-571190,mp-568031,Ga8Hg16Cl32Sb8,train,train,train
140,mp-24262,mp-757909,K16H32O64P16,valid,train,valid
141,mp-555882,mp-579331,Fe16K32F80,train,valid,train
142,mp-676561,mp-675879,Ag6I2S2,train,train,train
143,mp-5026,mp-557803,Mg8O24Si8,train,train,train
144,mp-23076,mp-571242,Co4Rb8Cl16,train,train,train
145,mp-761338,mp-765022,Li12V12O48P12,train,train,train
146,mp-608314,mp-616185,Rb8Zn4Cl16,train,test,train
147,mp-626577,mp-625600,Mo2H4O8,valid,train,valid
148,mp-706586,mp-698084,Cl4H16N4O16,test,valid,test
149,mp-14550,mp-5052,Cd4Ti4O12,test,train,test
150,mp-5803,mp-556918,Nb4O20P4,train,train,train
151,mp-18997,mp-780646,Li4Mn4O16P4,train,valid,train
152,mp-18673,mp-559752,Cs4Zn4O16P4,train,train,train
153,mp-667338,mp-620058,Pb12N72,train,test,train
154,mp-560826,mp-556218,O48Si24,train,valid,train
155,mp-546551,mp-13274,Na8C2O8,train,train,train
156,mp-571555,mp-571636,In4Cl4,train,train,train
157,mp-10064,mp-554089,O8Si4,valid,test,valid
158,mp-504466,mp-637188,Ag16W8O32,train,train,train
159,mp-626876,mp-626885,U4H8O16,train,train,train
160,mp-560826,mp-16964,O48Si24,train,train,train
161,mp-626864,mp-626885,U4H8O16,train,train,train
162,mp-768479,mp-769007,Sc6Y6O18,train,train,train
163,mp-626361,mp-625452,Pr2H6O6,train,valid,train
164,mp-755342,mp-768505,Ga6Lu6O18,train,train,train
165,mp-558189,mp-675879,Ag6I2S2,train,train,train
166,mp-766293,mp-849760,Ag4Al44O68,train,train,train
167,mp-559175,mp-32662,W6O18,train,train,train
168,mp-561189,mp-555837,Rb12O46Si20,train,train,train
169,mp-715590,mp-32662,W6O18,train,train,train
170,mp-626109,mp-626448,H16O20S4,train,train,train
171,mp-32324,mp-763061,Li4Ni4O16P4,train,train,train
172,mp-655591,mp-638070,Li4B52C8,valid,train,valid
173,mp-23902,mp-626450,H12O16P4,train,train,train
174,mp-541661,mp-681439,Li4Zr8O48P12,train,valid,train
175,mp-555769,mp-555313,Bi8Sc8O24,valid,test,valid
