frame_index,material_id,formula,n_atoms,ref_bec_asr_max_abs,pred_bec_asr_max_abs
1328,mp-768223,Ce4Cs8O12,24,205.38017999999997,8.999999971948114e-07
511,mp-756156,O12Rb8Zr4,24,176.4001,1.1899999994291477e-06
506,mp-21489,O12Pb4Rb8,24,170.44041999999993,1.43000000063509e-06
1323,mp-3998,La4O16Ta4,24,167.36103999999997,5.489999993724126e-06
508,mp-555321,Ba4F16Ni4,24,164.10157999999998,6.70000001257165e-07
1329,mp-768230,O16Sm4Ta4,24,153.82496,5.939999999426959e-06
513,mp-9900,Ag8Ge4S12,24,148.61192,5.100000013413819e-07
1327,mp-768176,O16Ta4Tm4,24,136.08345999999997,1.999999994728441e-06
1322,mp-19885,Ga4In4S12,20,123.57718,8.500000039379785e-07
1332,mp-560088,Cs4F10Li6,20,111.70241999999998,9.299999995660002e-07
115,mp-568328,Fe4P16,20,110.49184000000002,7.200000029516929e-07
1330,mp-859876,Ge8N8O4,20,102.2103,2.0500000039724853e-06
515,mp-34328,Cl8Cu4Mn2,14,98.99838,7.599999995999696e-07
590,mp-13445,As4Pt2Rb4,10,73.50828,2.400000002067415e-07
535,mp-753679,Nb2O8V2,12,69.64254,2.280000004795113e-06
514,mp-20337,O6Pb2Zr2,10,68.38758,2.7400000006672087e-06
1371,mp-9672,K4Ni2P4,10,65.21170000000001,6.899999998033479e-07
565,mp-8147,As4K4Pd2,10,64.8604,2.4000000006102473e-07
1367,mp-4009,Ba2Pd2S4,8,62.23577999999999,7.300000004484275e-07
466,mp-754826,Cs2O4Sc2,8,59.31980000000001,4.7000000158448074e-07
161,mp-571636,Cl4In4,8,56.17280000000001,4.700000002522131e-07
267,mp-29889,Cl4PdTl2,7,53.39764,2.1000000027804333e-07
1041,mp-10289,C4B4Ca2,10,27.72649,3.600000009207349e-07
217,mp-768305,HfO4Sr2,7,25.31887,5.999999981298743e-07
745,mp-2059,As4Nb4,8,9.336480000000016,7.100000001258877e-07
557,mp-30133,Ba4Cu8Te8,20,7.765280000000006,4.199999987797298e-07
251,mp-22736,Cu2In2S4,8,7.7004600000000005,6.599999995415828e-07
