material_id,formula,atom_index,element,component,ref,pred,residual,abs_residual
mp-2059,As4Nb4,3,Nb,xx,-193.5396,-1.37725031,192.16234969,192.16234969
mp-2059,As4Nb4,1,Nb,xx,-193.5396,-1.37726045,192.16233955,192.16233955
mp-2059,As4Nb4,2,Nb,yy,-193.5387,-1.37723851,192.16146149,192.16146149
mp-2059,As4Nb4,0,Nb,yy,-193.5387,-1.37724042,192.16145958,192.16145958
mp-2059,As4Nb4,6,As,yy,176.41842,1.02282262,-175.39559738,175.39559738
mp-2059,As4Nb4,4,As,yy,176.41842,1.02283788,-175.39558212,175.39558212
mp-2059,As4Nb4,7,As,xx,176.41823,1.02280045,-175.39542955,175.39542955
mp-2059,As4Nb4,5,As,xx,176.41823,1.02280891,-175.39542108999999,175.39542108999999
mp-2059,As4Nb4,6,As,xx,62.59936,2.16756821,-60.43179179,60.43179179
mp-2059,As4Nb4,5,As,yy,62.59932,2.16754675,-60.43177325,60.43177325
mp-2059,As4Nb4,4,As,xx,62.59936,2.16758823,-60.43177177,60.43177177
mp-2059,As4Nb4,7,As,yy,62.59932,2.16759825,-60.43172175,60.43172175
mp-2059,As4Nb4,2,Nb,xx,-40.81083,-1.81310964,38.99772036,38.99772036
mp-2059,As4Nb4,0,Nb,xx,-40.81083,-1.81314516,38.997684840000005,38.997684840000005
mp-2059,As4Nb4,3,Nb,yy,-40.8108,-1.81316149,38.99763851,38.99763851
mp-2059,As4Nb4,1,Nb,yy,-40.8108,-1.81316447,38.997635530000004,38.997635530000004
mp-768479,O6Sc2Y2,6,O,xx,-1.66753,32.61154175,34.27907175,34.27907175
mp-768479,O6Sc2Y2,7,O,xx,-1.66753,32.61149216,34.27902216,34.27902216
mp-768479,O6Sc2Y2,0,Y,xx,3.51508,-30.54267502,-34.05775502,34.05775502
mp-768479,O6Sc2Y2,1,Y,xx,3.51508,-30.5426693,-34.0577493,34.0577493
mp-1087549,Cs30N38W14,4,Cs,zz,17.2799,0.95447707,-16.325422930000002,16.325422930000002
mp-22736,Cu2In2S4,3,Cu,zz,-15.03738,0.91043139,15.94781139,15.94781139
mp-22736,Cu2In2S4,2,Cu,zz,-15.03738,0.91041654,15.94779654,15.94779654
mp-1087549,Cs30N38W14,5,Cs,zz,16.82359,0.95447612,-15.869113879999999,15.869113879999999
mp-28691,I2Ta2Te8,1,Ta,xx,-11.84745,1.12663913,12.97408913,12.97408913
mp-28691,I2Ta2Te8,0,Ta,xx,-11.84745,1.12663829,12.974088290000001,12.974088290000001
mp-1030245,Ca54N72Re18,62,Re,yy,-10.08233,2.17862844,12.260958440000001,12.260958440000001
mp-1030245,Ca54N72Re18,65,Re,yy,-10.0679,2.1786294,12.2465294,12.2465294
mp-1029863,K30N38Re14,32,Re,zz,-6.48531,5.54827785,12.03358785,12.03358785
mp-1029863,K30N38Re14,33,Re,zz,-6.38123,5.54832029,11.929550290000002,11.929550290000002
mp-1030245,Ca54N72Re18,61,Re,xx,-9.22214,2.53342104,11.75556104,11.75556104
mp-1030245,Ca54N72Re18,64,Re,xx,-9.22214,2.53341126,11.755551259999999,11.755551259999999
mp-568328,Fe4P16,3,Fe,yy,5.53673,-6.07730961,-11.61403961,11.61403961
mp-568328,Fe4P16,1,Fe,yy,5.53673,-6.07723761,-11.61396761,11.61396761
mp-568328,Fe4P16,0,Fe,yy,5.53613,-6.07731152,-11.61344152,11.61344152
mp-568328,Fe4P16,2,Fe,yy,5.53613,-6.07730865,-11.613438649999999,11.613438649999999
mp-1030245,Ca54N72Re18,10,Ca,xx,-8.9515,2.32775855,11.27925855,11.27925855
mp-1030245,Ca54N72Re18,7,Ca,xx,-8.9515,2.3277545,11.2792545,11.2792545
mp-1030245,Ca54N72Re18,11,Ca,yy,-9.0637,2.10407734,11.16777734,11.16777734
mp-568328,Fe4P16,2,Fe,zz,5.53643,-5.59185982,-11.128289819999999,11.128289819999999
mp-568328,Fe4P16,0,Fe,zz,5.53643,-5.591856,-11.128286,11.128286
mp-568328,Fe4P16,3,Fe,zz,5.53643,-5.59184933,-11.12827933,11.12827933
mp-568328,Fe4P16,1,Fe,zz,5.53643,-5.59182739,-11.12825739,11.12825739
mp-768223,Ce4Cs8O12,11,Ce,yy,13.14478,2.14087963,-11.00390037,11.00390037
mp-768223,Ce4Cs8O12,9,Ce,yy,13.14478,2.14088154,-11.00389846,11.00389846
mp-768223,Ce4Cs8O12,10,Ce,yy,13.14478,2.14088368,-11.00389632,11.00389632
mp-768223,Ce4Cs8O12,8,Ce,yy,13.14478,2.14088726,-11.003892740000001,11.003892740000001
mp-1030245,Ca54N72Re18,8,Ca,yy,-8.67104,2.10407495,10.775114949999999,10.775114949999999
mp-1029863,K30N38Re14,75,N,zz,5.28607,-5.35070801,-10.63677801,10.63677801
mp-1029863,K30N38Re14,74,N,zz,5.25325,-5.35073376,-10.60398376,10.60398376
mp-1030245,Ca54N72Re18,89,N,yy,8.64982,-1.88694441,-10.53676441,10.53676441
mp-1030245,Ca54N72Re18,86,N,yy,8.64156,-1.8869468,-10.5285068,10.5285068
mp-768223,Ce4Cs8O12,11,Ce,xx,13.15127,2.62843966,-10.52283034,10.52283034
mp-768223,Ce4Cs8O12,9,Ce,xx,13.15127,2.62844014,-10.52282986,10.52282986
mp-768223,Ce4Cs8O12,10,Ce,xx,13.13829,2.62843323,-10.509856769999999,10.509856769999999
mp-768223,Ce4Cs8O12,8,Ce,xx,13.13829,2.6284337,-10.5098563,10.5098563
mp-753679,Nb2O8V2,8,O,xx,5.39959,-5.10264301,-10.502233010000001,10.502233010000001
mp-753679,Nb2O8V2,4,O,xx,5.39959,-5.10264206,-10.50223206,10.50223206
mp-753679,Nb2O8V2,11,O,xx,5.32955,-5.10264254,-10.432192539999999,10.432192539999999
mp-753679,Nb2O8V2,7,O,xx,5.32955,-5.10264158,-10.432191580000001,10.432191580000001
mp-754826,Cs2O4Sc2,0,Cs,zz,11.0098,0.76946628,-10.24033372,10.24033372
mp-754826,Cs2O4Sc2,1,Cs,zz,11.0098,0.76947248,-10.240327520000001,10.240327520000001
mp-1029965,K30N38Os14,35,Os,zz,-6.55389,3.55567098,10.10956098,10.10956098
mp-1029965,K30N38Os14,34,Os,zz,-6.48702,3.55566359,10.04268359,10.04268359
mp-555321,Ba4F16Ni4,3,Ba,yy,11.66756,1.77816892,-9.88939108,9.88939108
mp-555321,Ba4F16Ni4,1,Ba,yy,11.66756,1.77817297,-9.88938703,9.88938703
mp-555321,Ba4F16Ni4,0,Ba,yy,11.66746,1.77816856,-9.889291440000001,9.889291440000001
mp-555321,Ba4F16Ni4,2,Ba,yy,11.66746,1.77817225,-9.889287750000001,9.889287750000001
mp-560088,Cs4F10Li6,3,Cs,xx,11.01738,1.1362834,-9.8810966,9.8810966
mp-560088,Cs4F10Li6,1,Cs,xx,11.01738,1.13628674,-9.88109326,9.88109326
mp-20337,O6Pb2Zr2,6,O,zz,5.37232,-4.40866852,-9.780988520000001,9.780988520000001
mp-20337,O6Pb2Zr2,9,O,zz,5.37232,-4.40866518,-9.78098518,9.78098518
mp-4009,Ba2Pd2S4,0,Ba,xx,11.6722,1.89134049,-9.78085951,9.78085951
mp-4009,Ba2Pd2S4,1,Ba,xx,11.6722,1.89135087,-9.78084913,9.78084913
mp-560088,Cs4F10Li6,0,Cs,xx,11.01629,1.27590299,-9.74038701,9.74038701
mp-560088,Cs4F10Li6,2,Cs,xx,11.01629,1.27590299,-9.74038701,9.74038701
mp-3998,La4O16Ta4,3,La,yy,12.73808,3.0282433,-9.7098367,9.7098367
mp-3998,La4O16Ta4,1,La,yy,12.73808,3.02825069,-9.70982931,9.70982931
mp-3998,La4O16Ta4,0,La,yy,12.73366,3.02826071,-9.70539929,9.70539929
