material_id,formula,atom_index,element,component,ref,pred,residual,abs_residual
mp-1087549,Cs30N38W14,4,Cs,zy,-20.40258,0.26801717,20.67059717,20.67059717
mp-1087549,Cs30N38W14,5,Cs,zy,-19.81178,0.26801851,20.07979851,20.07979851
mp-1087549,Cs30N38W14,4,Cs,zx,-19.23688,0.34890002,19.585780019999998,19.585780019999998
mp-1087549,Cs30N38W14,5,Cs,zx,-18.67956,0.34890199,19.02846199,19.02846199
mp-1030245,Ca54N72Re18,59,Re,yz,15.5468,-0.04713833,-15.593938329999999,15.593938329999999
mp-1030245,Ca54N72Re18,56,Re,yz,-15.54144,0.04714529,15.58858529,15.58858529
mp-1030245,Ca54N72Re18,57,Re,xz,13.75224,-0.07880661,-13.831046610000001,13.831046610000001
mp-1030245,Ca54N72Re18,54,Re,xz,13.75224,-0.07879165,-13.83103165,13.83103165
mp-1030245,Ca54N72Re18,58,Re,xz,-12.59952,0.0029144,12.6024344,12.6024344
mp-1030245,Ca54N72Re18,55,Re,xz,-12.59952,0.0029114,12.6024314,12.6024314
mp-1029965,K30N38Os14,30,Os,xy,10.59693,-0.53604341,-11.13297341,11.13297341
mp-1029965,K30N38Os14,31,Os,xy,10.54243,-0.53605676,-11.078486759999999,11.078486759999999
mp-1029965,K30N38Os14,31,Os,zy,-10.55883,0.01797745,10.57680745,10.57680745
mp-1029965,K30N38Os14,30,Os,zy,-10.47682,0.01797724,10.49479724,10.49479724
mp-722913,Hf48N16Zn48,14,Hf,yx,9.00315,-0.66657972,-9.66972972,9.66972972
mp-722913,Hf48N16Zn48,39,Hf,yz,9.00315,-0.66657883,-9.66972883,9.66972883
mp-722913,Hf48N16Zn48,17,Hf,yx,-9.00315,0.66657794,9.66972794,9.66972794
mp-722913,Hf48N16Zn48,36,Hf,yz,-9.00315,0.66657734,9.66972734,9.66972734
mp-722913,Hf48N16Zn48,29,Hf,yx,-9.00315,0.66657686,9.669726859999999,9.669726859999999
mp-722913,Hf48N16Zn48,32,Hf,yx,9.00315,-0.6665768,-9.6697268,9.6697268
mp-722913,Hf48N16Zn48,27,Hf,yz,9.00315,-0.66657662,-9.66972662,9.66972662
mp-722913,Hf48N16Zn48,38,Hf,yx,9.00315,-0.66657662,-9.66972662,9.66972662
mp-722913,Hf48N16Zn48,9,Hf,yz,9.00315,-0.66657662,-9.66972662,9.66972662
mp-722913,Hf48N16Zn48,15,Hf,yz,9.00315,-0.66657573,-9.66972573,9.66972573
mp-722913,Hf48N16Zn48,24,Hf,yz,-9.00315,0.66657531,9.66972531,9.66972531
mp-722913,Hf48N16Zn48,26,Hf,yx,9.00315,-0.66657525,-9.669725249999999,9.669725249999999
mp-722913,Hf48N16Zn48,20,Hf,yx,9.00315,-0.66657525,-9.669725249999999,9.669725249999999
mp-722913,Hf48N16Zn48,18,Hf,yz,-9.00315,0.66657448,9.66972448,9.66972448
mp-722913,Hf48N16Zn48,12,Hf,yz,-9.00315,0.66657442,9.66972442,9.66972442
mp-722913,Hf48N16Zn48,23,Hf,yx,-9.00315,0.66657442,9.66972442,9.66972442
mp-722913,Hf48N16Zn48,41,Hf,yx,-9.00315,0.6665743,9.6697243,9.6697243
mp-722913,Hf48N16Zn48,45,Hf,yz,9.00315,-0.66657406,-9.66972406,9.66972406
mp-722913,Hf48N16Zn48,3,Hf,yz,9.00315,-0.66657406,-9.66972406,9.66972406
mp-722913,Hf48N16Zn48,5,Hf,yx,-9.00315,0.666574,9.669724,9.669724
mp-722913,Hf48N16Zn48,0,Hf,yz,-9.00315,0.66657394,9.669723939999999,9.669723939999999
mp-722913,Hf48N16Zn48,35,Hf,yx,-9.00315,0.66657394,9.669723939999999,9.669723939999999
mp-722913,Hf48N16Zn48,21,Hf,yz,9.00315,-0.66657388,-9.66972388,9.66972388
mp-722913,Hf48N16Zn48,6,Hf,yz,-9.00315,0.66657376,9.66972376,9.66972376
mp-722913,Hf48N16Zn48,44,Hf,yx,9.00315,-0.6665737,-9.6697237,9.6697237
