direct_mode_index,foundation_mode_index,overlap_abs,direct_frequency_cm-1,foundation_frequency_cm-1,frequency_ratio_foundation_over_direct,direct_raman_activity,foundation_raman_activity,activity_ratio_foundation_over_direct,direct_frobenius_norm,foundation_frobenius_norm,frobenius_ratio_foundation_over_direct
0,0,0.9956439408560899,-22.166627348347888,-17.980583029799753,0.811155560439368,2.616781915549344e-05,3.3776504292258778e-06,0.1290764969428797,0.0015324995330074991,0.0005225325745945281,0.34096752614930237
4,4,0.9814118005745525,39.53688564266939,46.31674083783132,1.171481771640731,1.2260346612829152e-05,1.1518834555587222e-06,0.09395194866296834,0.0009809039137409947,0.00032524336116901556,0.3315751488120734
5,5,0.9853596603313259,54.56753861757706,53.79784122379265,0.9858945920361437,1.1825749205168004e-06,1.7052721192432666e-06,1.4419992252990117,0.0003155787640153751,0.00040296310557556484,1.27690184361053
6,6,0.967737536750626,59.45478828753054,59.79776654793002,1.0057687239376043,1.1186596900941565e-06,8.288989008219455e-08,0.07409750330345576,0.0003252174857949975,8.622119103038171e-05,0.26511855849205995
7,7,0.9090903641503014,62.95600198019449,61.37730933300789,0.9749238738558517,2.550695537690614e-07,1.6683185818915554e-08,0.0654064178667926,0.00015318730370035327,3.9782506209137866e-05,0.2596984557346584
8,10,0.8350010701623409,69.32213432581727,68.34142491819168,0.9858528676711508,1.0212297817002423e-05,1.541913945400313e-05,1.5098599482999657,0.0008657957473026234,0.0011521498196576281,1.330740908865789
9,8,0.7549094734394043,70.39059344010377,64.51400397321271,0.916514562817381,1.7350600591670889e-06,3.170707467212732e-07,0.18274338403794632,0.0004044778312905517,0.00015864583404687677,0.3922238050493192
10,9,0.9149854932849664,71.64555917461473,65.69728011319589,0.9169763048827397,2.0997592747159818e-06,1.553045561166772e-06,0.739630289942089,0.00040817377551038097,0.00034408174069109883,0.8429785579949585
11,11,0.8922362075187432,81.52815325152325,79.73321570171153,0.9779838316185804,6.780870685372983e-05,1.1542390265934516e-05,0.17021988475362917,0.0025323197533806048,0.0010254137664534877,0.4049306036824842
12,13,0.8604784537674829,85.73753756691633,85.00843248012482,0.9914960808593033,3.925013922053325e-06,4.6242667365943076e-07,0.11781529514104695,0.0005870481003398547,0.00020752967318366221,0.35351391659988146
13,14,0.8850102492822084,87.35717620013874,85.42000155453984,0.9778246650148036,6.658154240625182e-06,2.537831014267471e-07,0.038116134330183016,0.0007686795719778958,0.00015464533314713788,0.2011830921292974
14,12,0.6925258195020018,90.10141492189523,82.36090301874434,0.9140911171055329,6.1016302543747447e-05,1.0293800642117913e-05,0.1687057427764894,0.0022424368390783567,0.0009421231431689611,0.42013363620808797
15,16,0.9491282379328791,99.93348099667855,99.62566196523322,0.9969197607410917,5.5526342234733704e-06,1.2069654899740333e-07,0.02173680889822837,0.0006443476330678649,0.00010716445114859455,0.16631465011885535
16,17,0.8387681031005649,100.12820816645754,99.99368877054494,0.9986565284810752,1.0255238103575768e-05,2.4772921021781024e-07,0.024156358703308185,0.000987494562661372,0.00015240440769721572,0.1543344272058313
17,15,0.7758307641668467,101.6227929569078,93.36893874918593,0.9187794985006775,3.658437755372631e-05,5.223988637841102e-06,0.1427928801076188,0.0018540378248393943,0.0006580048573047807,0.3549036856148176
18,18,0.9172828110914273,109.46878641560434,106.3547562620456,0.9715532595589746,0.0002329888029362872,3.752767060828565e-05,0.16107070440869178,0.004701219874052423,0.0018865462070963034,0.40128865648440987
19,19,0.9654300998051318,114.22376966431463,110.98901331211069,0.9716805323295635,3.18134486250742e-05,3.0077566902998483e-05,0.9454356004426518,0.0017386427993851886,0.0016918722061629009,0.9730993662189689
20,20,0.9860884210248018,117.93417321613713,113.2288902214341,0.9601024633794677,3.7017486452851906e-05,1.0511848757349412e-05,0.2839698143940175,0.0018764742352760427,0.000999403087383061,0.532596221464262
