time_ps,P_autocorr_avg,alpha_autocorr_avg
0.000000000000000000e+00,1.000000000000000222e+00,1.000000000000000222e+00
2.000000000000000042e-03,9.668038598977668485e-01,9.904272682787867987e-01
4.000000000000000083e-03,8.712804537405324234e-01,9.623313972588034559e-01
6.000000000000000125e-03,7.249565679743485980e-01,9.173249382233515936e-01
8.000000000000000167e-03,5.451031283996609078e-01,8.577934344804631905e-01
1.000000000000000021e-02,3.521709427615330457e-01,7.865521680887200828e-01
1.200000000000000025e-02,1.668182134316460175e-01,7.065247848984449464e-01
1.400000000000000029e-02,7.000727438461114630e-03,6.205063318729454602e-01
1.600000000000000033e-02,-1.144360745033471127e-01,5.310232119703299780e-01
1.799999999999999864e-02,-1.913226336224220225e-01,4.402677273547835890e-01
2.000000000000000042e-02,-2.246900418262252341e-01,3.500783182799804827e-01
2.199999999999999872e-02,-2.222148961271567247e-01,2.619516786161168453e-01
2.400000000000000050e-02,-1.966983922532902218e-01,1.770898066297616202e-01
2.599999999999999881e-02,-1.638236833179631258e-01,9.648735116946946522e-02
2.800000000000000058e-02,-1.395292367781061915e-01,2.104886624469526346e-02
2.999999999999999889e-02,-1.373857754301875123e-01,-4.829593301418484003e-02
3.200000000000000067e-02,-1.663639080929911751e-01,-1.105209942941070556e-01
3.400000000000000244e-02,-2.293271704240924802e-01,-1.645069415687447356e-01
3.599999999999999728e-02,-3.224833971209245531e-01,-2.091196531545074788e-01
3.799999999999999906e-02,-4.358865486084026464e-01,-2.433360399009055486e-01
4.000000000000000083e-02,-5.549203822199075820e-01,-2.663752378675813826e-01
4.200000000000000261e-02,-6.625390190599640405e-01,-2.778017760257904811e-01
4.399999999999999745e-02,-7.419152555961828766e-01,-2.775894122558117960e-01
4.599999999999999922e-02,-7.790783496029697330e-01,-2.661541279201987686e-01
4.800000000000000100e-02,-7.651233740804580519e-01,-2.443694552925087804e-01
5.000000000000000278e-02,-6.976447760973475409e-01,-2.135666369564712952e-01
5.199999999999999761e-02,-5.811747669962155083e-01,-1.755058646297547043e-01
5.399999999999999939e-02,-4.265688802704119542e-01,-1.322980471046900086e-01
5.600000000000000117e-02,-2.494471103597153683e-01,-8.626711226779720798e-02
5.800000000000000294e-02,-6.794230264313161349e-02,-3.976767741334793355e-02
5.999999999999999778e-02,9.989377560301977710e-02,5.003118176125794479e-03
6.199999999999999956e-02,2.386333529367163087e-01,4.615290446256274659e-02
6.400000000000000133e-02,3.375871304766663861e-01,8.216844257389223360e-02
6.600000000000000311e-02,3.921821200210683367e-01,1.119138869194840347e-01
6.800000000000000488e-02,4.044058129140409297e-01,1.345764777225098574e-01
7.000000000000000666e-02,3.822575907991195288e-01,1.495934426671211293e-01
7.199999999999999456e-02,3.382945603320802186e-01,1.565856536951213129e-01
7.399999999999999634e-02,2.874942421359206191e-01,1.553065574121910153e-01
7.599999999999999811e-02,2.447617174255182770e-01,1.456024186402982146e-01
7.799999999999999989e-02,2.224668376111776369e-01,1.273802468004669730e-01
8.000000000000000167e-02,2.283970351831886292e-01,1.005897404930059108e-01
8.200000000000000344e-02,2.644501805816424911e-01,6.523565770429445854e-02
8.400000000000000522e-02,3.262771517816591693e-01,2.143558027487771703e-02
8.599999999999999312e-02,4.039333500041300540e-01,-3.047806452654680878e-02
8.799999999999999489e-02,4.834369788967176063e-01,-8.983592156824068975e-02
8.999999999999999667e-02,5.489875583273174930e-01,-1.555309473283389698e-01
9.199999999999999845e-02,5.854952885001557528e-01,-2.259798350789195276e-01
9.400000000000000022e-02,5.810267544494253089e-01,-2.991678483388393595e-01
9.600000000000000200e-02,5.287906397764825517e-01,-3.727700408859528913e-01
9.800000000000000377e-02,4.283627788129021896e-01,-4.443187324280439277e-01
1.000000000000000056e-01,2.859681939349587032e-01,-5.113800203000767874e-01
1.019999999999999934e-01,1.137795866697134811e-01,-5.717101265965012225e-01
1.039999999999999952e-01,-7.166431261167512112e-02,-6.233776106577578746e-01
1.059999999999999970e-01,-2.516902558932579415e-01,-6.648495610049524052e-01
1.079999999999999988e-01,-4.080482061782231828e-01,-6.950433020454011013e-01
1.100000000000000006e-01,-5.254237978232668693e-01,-7.133422967741129828e-01
1.120000000000000023e-01,-5.935383704852160713e-01,-7.195726143330947178e-01
1.140000000000000041e-01,-6.085270679217671397e-01,-7.139398145745700086e-01
1.160000000000000059e-01,-5.733890606691574021e-01,-6.969367088934891319e-01
1.179999999999999938e-01,-4.974406786338244624e-01,-6.692428507444551089e-01
1.199999999999999956e-01,-3.948516165571944181e-01,-6.316404639174496571e-01
1.219999999999999973e-01,-2.824839287392018061e-01,-5.849642447185667837e-01
1.239999999999999991e-01,-1.773605637173109872e-01,-5.300883519316172965e-01
1.260000000000000009e-01,-9.414703194622846272e-02,-4.679410692379987746e-01
1.280000000000000027e-01,-4.302688318887623597e-02,-3.995322405514281638e-01
1.300000000000000044e-01,-2.828942307147995147e-02,-3.259820452829446658e-01
1.320000000000000062e-01,-4.783688070224938194e-02,-2.485466859764096925e-01
1.340000000000000080e-01,-9.367593288179584810e-02,-1.686406039414214131e-01
1.360000000000000098e-01,-1.533080423938212311e-01,-8.785240757707896142e-02
1.380000000000000115e-01,-2.117972396041968020e-01,-7.945071543878579057e-03
1.400000000000000133e-01,-2.541936770450481942e-01,6.917408863387984608e-02
1.419999999999999873e-01,-2.679403723419810923e-01,1.415256576199827587e-01
1.439999999999999891e-01,-2.448967166855375854e-01,2.071726123579619994e-01
1.459999999999999909e-01,-1.826732219558411252e-01,2.643609937224487560e-01
1.479999999999999927e-01,-8.507864084989681663e-02,3.116577902024213476e-01
1.499999999999999944e-01,3.838357226702027863e-02,3.480556916732204242e-01
1.519999999999999962e-01,1.738880543666015410e-01,3.730250018068820839e-01
1.539999999999999980e-01,3.053169995279804150e-01,3.865099319510931775e-01
1.559999999999999998e-01,4.166358354351505922e-01,3.888811920537161848e-01
1.580000000000000016e-01,4.942542641330958109e-01,3.808630028364288211e-01
1.600000000000000033e-01,5.290167330662399747e-01,3.634505245515061156e-01
1.620000000000000051e-01,5.175243955425201658e-01,3.378277498130590195e-01
1.640000000000000069e-01,4.625933865432256820e-01,3.052913316666673316e-01
1.660000000000000087e-01,3.727850981623221926e-01,2.671853710654630842e-01
1.680000000000000104e-01,2.610842400357517579e-01,2.248537315398131953e-01
1.700000000000000122e-01,1.429286142910133339e-01,1.796164580910198649e-01
1.719999999999999862e-01,3.389211607274012633e-02,1.327723463447751107e-01
1.739999999999999880e-01,-5.262540714693220156e-02,8.562078409363714504e-02
1.759999999999999898e-01,-1.073492128409526819e-01,3.948766421770395080e-02
