frequency_cm-1,IR,epsilon_avg_real,epsilon_avg_imag,Raman
0.000000000000000000e+00,-0.000000000000000000e+00,4.776163653797573794e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.667803797952780720e-01,0.000000000000000000e+00,4.776159952841974921e+00,0.000000000000000000e+00,5.944090402775377251e-03
3.335607595905561440e-01,0.000000000000000000e+00,4.776131238626223130e+00,0.000000000000000000e+00,1.224856197196988461e-02
5.003411393858342437e-01,-0.000000000000000000e+00,4.776195688266047235e+00,0.000000000000000000e+00,4.591728638215002850e-02
6.671215191811122880e-01,0.000000000000000000e+00,4.776131457591837659e+00,0.000000000000000000e+00,3.593344706866316574e-02
8.339018989763904433e-01,-0.000000000000000000e+00,4.776166522705659112e+00,0.000000000000000000e+00,6.279441798421420140e-02
1.000682278771668487e+00,-0.000000000000000000e+00,4.776322345953548876e+00,0.000000000000000000e+00,2.089571479811112853e-01
1.167462658566946532e+00,-0.000000000000000000e+00,4.776380093181088249e+00,0.000000000000000000e+00,2.274025129916316112e-01
1.334243038362224576e+00,0.000000000000000000e+00,4.775824485292513799e+00,0.000000000000000000e+00,1.682338219774764942e-01
1.501023418157502620e+00,0.000000000000000000e+00,4.775722231375636007e+00,0.000000000000000000e+00,6.421043451666871849e-02
1.667803797952780887e+00,0.000000000000000000e+00,4.776014408792929267e+00,0.000000000000000000e+00,2.437410835171691936e-01
1.834584177748058709e+00,-0.000000000000000000e+00,4.776352067349735719e+00,0.000000000000000000e+00,1.787331686577545986e-01
2.001364557543336975e+00,0.000000000000000000e+00,4.775491322159807872e+00,0.000000000000000000e+00,5.881129008070088426e-01
2.168144937338614575e+00,0.000000000000000000e+00,4.775882353390421997e+00,0.000000000000000000e+00,2.551961639935871329e-01
2.334925317133893063e+00,0.000000000000000000e+00,4.776100566519203561e+00,0.000000000000000000e+00,2.584988313298263174e-01
2.501705696929171108e+00,0.000000000000000000e+00,4.775965124782174165e+00,0.000000000000000000e+00,2.270010678094162015e-01
2.668486076724449152e+00,-0.000000000000000000e+00,4.776229763828429675e+00,0.000000000000000000e+00,7.534711702436157621e-01
2.835266456519727196e+00,-0.000000000000000000e+00,4.776296761724402984e+00,0.000000000000000000e+00,4.140920711761520434e-01
3.002046836315005240e+00,0.000000000000000000e+00,4.776158418835112052e+00,0.000000000000000000e+00,1.578780138486476581e+00
3.168827216110283729e+00,-0.000000000000000000e+00,4.776553179830332674e+00,0.000000000000000000e+00,8.857308190843903029e-02
3.335607595905561773e+00,0.000000000000000000e+00,4.776039277499680935e+00,0.000000000000000000e+00,8.697773922786707912e-01
3.502387975700839817e+00,0.000000000000000000e+00,4.775987113587777166e+00,0.000000000000000000e+00,1.399011514220981578e+00
3.669168355496117417e+00,-0.000000000000000000e+00,4.777064344792267825e+00,0.000000000000000000e+00,7.014545279957460355e-01
