time_ps,P_autocorr_avg,alpha_autocorr_avg
0.000000000000000000e+00,1.000000000000000222e+00,1.000000000000000222e+00
2.000000000000000042e-03,9.711860072541043110e-01,9.725146759366157800e-01
4.000000000000000083e-03,8.879691128045367199e-01,8.969126072097587388e-01
6.000000000000000125e-03,7.594563642037928108e-01,7.907305261871143687e-01
8.000000000000000167e-03,5.993920486315081897e-01,6.749083199375494058e-01
1.000000000000000021e-02,4.242538214353807624e-01,5.660757767517708983e-01
1.200000000000000025e-02,2.510239241589652948e-01,4.721971272322759150e-01
1.400000000000000029e-02,9.496909879397079368e-02,3.931280056050046601e-01
1.600000000000000033e-02,-3.225630068664557537e-02,3.248326958347897975e-01
1.799999999999999864e-02,-1.239337028123554535e-01,2.642822416963832022e-01
2.000000000000000042e-02,-1.788740342343570489e-01,2.121956548935832187e-01
2.199999999999999872e-02,-2.012321309350094678e-01,1.724272097040482066e-01
2.400000000000000050e-02,-1.995967628130115579e-01,1.488416694374805338e-01
2.599999999999999881e-02,-1.855009570704091171e-01,1.418376975747264734e-01
2.800000000000000058e-02,-1.715656894276156585e-01,1.466962447019416471e-01
2.999999999999999889e-02,-1.695316239028075156e-01,1.547833905872831317e-01
3.200000000000000067e-02,-1.884462704129998833e-01,1.570157952442302607e-01
3.400000000000000244e-02,-2.332550782373589426e-01,1.477668299895049109e-01
3.599999999999999728e-02,-3.039947054118692371e-01,1.271758257447249130e-01
3.799999999999999906e-02,-3.957074769559536520e-01,1.007042120941419178e-01
4.000000000000000083e-02,-4.990964547242491833e-01,7.626258503346830531e-02
4.200000000000000261e-02,-6.018333013443664115e-01,6.049368985638687440e-02
4.399999999999999745e-02,-6.903324955299244836e-01,5.614409734652649198e-02
4.599999999999999922e-02,-7.517318899345377670e-01,6.171722889848783866e-02
4.800000000000000100e-02,-7.757850415477941519e-01,7.323006579866674082e-02
5.000000000000000278e-02,-7.563821616469306175e-01,8.672407990877938067e-02
5.199999999999999761e-02,-6.924742356755049233e-01,9.990290779910702967e-02
5.399999999999999939e-02,-5.882682702881965042e-01,1.120086773091676785e-01
5.600000000000000117e-02,-4.526743964381104712e-01,1.222849933401820854e-01
5.800000000000000294e-02,-2.980974563453321347e-01,1.282994762952614776e-01
5.999999999999999778e-02,-1.387587120751581360e-01,1.254540139584982006e-01
6.199999999999999956e-02,1.120542129976101822e-02,1.082264552726211054e-01
6.400000000000000133e-02,1.395968841824775930e-01,7.260380383979103680e-02
6.600000000000000311e-02,2.377052916323182385e-01,1.844319687979674091e-02
6.800000000000000488e-02,3.013438712957438037e-01,-4.949399051017382839e-02
7.000000000000000666e-02,3.312359602455886565e-01,-1.224226857383605288e-01
7.199999999999999456e-02,3.327052833091762585e-01,-1.899937051898090701e-01
7.399999999999999634e-02,3.147175235546468275e-01,-2.432844688431891333e-01
7.599999999999999811e-02,2.884094317665564233e-01,-2.770836577579878224e-01
7.799999999999999989e-02,2.653137901663902287e-01,-2.906177842302564707e-01
8.000000000000000167e-02,2.555342868888161312e-01,-2.866258992951891682e-01
8.200000000000000344e-02,2.661359784430711861e-01,-2.694524134809084259e-01
8.400000000000000522e-02,2.999903919458563606e-01,-2.432205282611351882e-01
8.599999999999999312e-02,3.552512035672534818e-01,-2.109697505650011407e-01
8.799999999999999489e-02,4.255444098727936275e-01,-1.749975097438208615e-01
8.999999999999999667e-02,5.008499324684420051e-01,-1.379117494169634361e-01
9.199999999999999845e-02,5.689470079207503694e-01,-1.035052961169859731e-01
9.400000000000000022e-02,6.172106146163782725e-01,-7.671781323736863445e-02
9.600000000000000200e-02,6.344946581964827637e-01,-6.253088008897939032e-02
9.800000000000000377e-02,6.128274533544407765e-01,-6.428289868360365089e-02
1.000000000000000056e-01,5.486762723311999768e-01,-8.223454438271014799e-02
1.019999999999999934e-01,4.436035401365404085e-01,-1.131121469689461562e-01
1.039999999999999952e-01,3.042259226352492796e-01,-1.509079297982744428e-01
1.059999999999999970e-01,1.414848101377264022e-01,-1.886678611121598848e-01
1.079999999999999988e-01,-3.067054199246777371e-02,-2.205930576307247593e-01
1.100000000000000006e-01,-1.970088912793072078e-01,-2.436634879237946083e-01
1.120000000000000023e-01,-3.429208274041130045e-01,-2.581874681311560615e-01
1.140000000000000041e-01,-4.562461771900057084e-01,-2.671081592913109315e-01
1.160000000000000059e-01,-5.287798615312819805e-01,-2.744006773138794042e-01
1.179999999999999938e-01,-5.572524376100164156e-01,-2.832695787314591374e-01
1.199999999999999956e-01,-5.436506676499555102e-01,-2.949309862075569777e-01
1.219999999999999973e-01,-4.948325178147268133e-01,-3.084734676141187570e-01
1.239999999999999991e-01,-4.214883215237607006e-01,-3.217481196335520988e-01
1.260000000000000009e-01,-3.365921440470611148e-01,-3.327044524319164309e-01
1.280000000000000027e-01,-2.535606849688555320e-01,-3.403589709716951517e-01
1.300000000000000044e-01,-1.843799700199947877e-01,-3.448103180916702315e-01
1.320000000000000062e-01,-1.379649702094174202e-01,-3.462964584654682487e-01
1.340000000000000080e-01,-1.189831556632533066e-01,-3.439025671847031340e-01
1.360000000000000098e-01,-1.273045856562189659e-01,-3.348099920164225307e-01
1.380000000000000115e-01,-1.581493343818734243e-01,-3.147404201905797949e-01
1.400000000000000133e-01,-2.029021910663880990e-01,-2.796036405983828299e-01
1.419999999999999873e-01,-2.504696549653766535e-01,-2.276489897388885020e-01
1.439999999999999891e-01,-2.889791955194967454e-01,-1.610450678174707995e-01
1.459999999999999909e-01,-3.075753739826649347e-01,-8.599668985103109398e-02
1.479999999999999927e-01,-2.980571867794743479e-01,-1.118672436592125195e-02
1.499999999999999944e-01,-2.561266416528426570e-01,5.483260365419598964e-02
1.519999999999999962e-01,-1.820752379597002646e-01,1.061202284744705154e-01
1.539999999999999980e-01,-8.081523623965070069e-02,1.405652330908471470e-01
1.559999999999999998e-01,3.874525920964676240e-02,1.593632505630875051e-01
1.580000000000000016e-01,1.648924878259981353e-01,1.651943781653764654e-01
1.600000000000000033e-01,2.846922403080652253e-01,1.602314668792006735e-01
1.620000000000000051e-01,3.857448659477825115e-01,1.451512158566216626e-01
1.640000000000000069e-01,4.578614933611401816e-01,1.196811669920729154e-01
1.660000000000000087e-01,4.944248647439603017e-01,8.425658736088274814e-02
1.680000000000000104e-01,4.932441520629867182e-01,4.164738860469154036e-02
1.700000000000000122e-01,4.567861082251050142e-01,-2.620588365744440460e-03
1.719999999999999862e-01,3.917544590216812672e-01,-4.154585181180359826e-02
1.739999999999999880e-01,3.080825321119706750e-01,-6.911972014748671289e-02
1.759999999999999898e-01,2.174874737936949853e-01,-8.271740669973215443e-02
1.779999999999999916e-01,1.317959237315923238e-01,-8.409696635913835316e-02
1.799999999999999933e-01,6.128213709597916947e-02,-7.839131309303484785e-02
