frequency_cm-1,IR,epsilon_avg_real,epsilon_avg_imag,Raman
0.000000000000000000e+00,-0.000000000000000000e+00,5.335591221333441325e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.667803797952780720e-01,-0.000000000000000000e+00,5.335596291860698948e+00,0.000000000000000000e+00,1.932380662895846757e-03
3.335607595905561440e-01,0.000000000000000000e+00,5.335578605157816234e+00,0.000000000000000000e+00,5.111365496407462711e-02
5.003411393858342437e-01,0.000000000000000000e+00,5.335572123519940924e+00,0.000000000000000000e+00,1.324492367643826662e-01
6.671215191811122880e-01,0.000000000000000000e+00,5.335590372970782091e+00,0.000000000000000000e+00,8.162907151707503306e-02
8.339018989763904433e-01,0.000000000000000000e+00,5.335582842257302616e+00,0.000000000000000000e+00,7.372604418131138704e-02
1.000682278771668487e+00,-0.000000000000000000e+00,5.335617457606712577e+00,0.000000000000000000e+00,2.052495744393631194e-01
1.167462658566946532e+00,-0.000000000000000000e+00,5.335648788238295026e+00,0.000000000000000000e+00,1.918176676649891166e-01
1.334243038362224576e+00,-0.000000000000000000e+00,5.335699744055392379e+00,0.000000000000000000e+00,6.325743678857119467e-02
1.501023418157502620e+00,-0.000000000000000000e+00,5.335607933394143743e+00,0.000000000000000000e+00,7.494082683468029638e-01
1.667803797952780887e+00,-0.000000000000000000e+00,5.335617549420068606e+00,0.000000000000000000e+00,2.526557327901202132e-01
1.834584177748058709e+00,-0.000000000000000000e+00,5.335719339044540988e+00,0.000000000000000000e+00,8.007545809230905975e-01
2.001364557543336975e+00,0.000000000000000000e+00,5.335418640972544146e+00,0.000000000000000000e+00,3.147142102866896662e-01
2.168144937338614575e+00,0.000000000000000000e+00,5.335530398200018176e+00,0.000000000000000000e+00,1.476162835870651058e-01
2.334925317133893063e+00,0.000000000000000000e+00,5.335505109107401722e+00,0.000000000000000000e+00,2.080690513509878825e-01
2.501705696929171108e+00,0.000000000000000000e+00,5.335527459468830891e+00,0.000000000000000000e+00,2.982665834805312555e-01
2.668486076724449152e+00,0.000000000000000000e+00,5.335411118415215093e+00,0.000000000000000000e+00,4.440894891486362184e-01
2.835266456519727196e+00,-0.000000000000000000e+00,5.335673775482103309e+00,0.000000000000000000e+00,1.344740161557255398e+00
3.002046836315005240e+00,-0.000000000000000000e+00,5.335636943340259286e+00,0.000000000000000000e+00,2.472639442672747434e-01
3.168827216110283729e+00,0.000000000000000000e+00,5.335588609288381967e+00,0.000000000000000000e+00,5.764783108134987621e-01
3.335607595905561773e+00,-0.000000000000000000e+00,5.335671274491944338e+00,0.000000000000000000e+00,4.008471834966309544e-01
3.502387975700839817e+00,0.000000000000000000e+00,5.335468444817383471e+00,0.000000000000000000e+00,7.980429479441748519e-01
3.669168355496117417e+00,0.000000000000000000e+00,5.335464120552091849e+00,0.000000000000000000e+00,6.896028445672192086e-01
3.835948735291395462e+00,0.000000000000000000e+00,5.335583870475708146e+00,0.000000000000000000e+00,6.320641826193974522e-01
4.002729115086673950e+00,-0.000000000000000000e+00,5.335707147338564660e+00,0.000000000000000000e+00,1.948770192804825108e+00
4.169509494881951994e+00,-0.000000000000000000e+00,5.335773763439820350e+00,0.000000000000000000e+00,2.296907216416068931e-01
4.336289874677229150e+00,-0.000000000000000000e+00,5.335849142568463321e+00,0.000000000000000000e+00,4.907192923563281073e-01
4.503070254472508083e+00,-0.000000000000000000e+00,5.335676016096510210e+00,0.000000000000000000e+00,1.621773046154379339e+00
4.669850634267786127e+00,-0.000000000000000000e+00,5.335710203197558066e+00,0.000000000000000000e+00,1.317801304155712838e+00
4.836631014063064171e+00,-0.000000000000000000e+00,5.335859335513213786e+00,0.000000000000000000e+00,5.471416143636200324e+00
5.003411393858342215e+00,-0.000000000000000000e+00,5.335737859593955079e+00,0.000000000000000000e+00,1.317852944581753283e+00
5.170191773653620260e+00,-0.000000000000000000e+00,5.335951603671259313e+00,0.000000000000000000e+00,2.231072087167005336e+00
5.336972153448898304e+00,-0.000000000000000000e+00,5.336240117577947473e+00,0.000000000000000000e+00,6.949583900476663523e+00
5.503752533244176348e+00,-0.000000000000000000e+00,5.336400877127427833e+00,0.000000000000000000e+00,7.226202884069889976e+00
5.670532913039454392e+00,0.000000000000000000e+00,5.335492551046857379e+00,0.000000000000000000e+00,2.745038370901091263e+00
5.837313292834732437e+00,-0.000000000000000000e+00,5.336123269253163492e+00,0.000000000000000000e+00,2.077655259089033368e+00
6.004093672630010481e+00,-0.000000000000000000e+00,5.335907272683218849e+00,0.000000000000000000e+00,1.130563652821984899e+00
6.170874052425288525e+00,0.000000000000000000e+00,5.335269889600296800e+00,0.000000000000000000e+00,9.271730307346450317e+00
6.337654432220567458e+00,-0.000000000000000000e+00,5.336059203256733774e+00,0.000000000000000000e+00,6.133897572785220298e+00
6.504434812015845502e+00,-0.000000000000000000e+00,5.336020410255460256e+00,0.000000000000000000e+00,1.068289887888567691e+01
6.671215191811123546e+00,0.000000000000000000e+00,5.335344332047246674e+00,0.000000000000000000e+00,1.858961890719555754e+00
6.837995571606401590e+00,-0.000000000000000000e+00,5.335944229357360236e+00,0.000000000000000000e+00,1.843424866943630613e+00
7.004775951401679635e+00,-0.000000000000000000e+00,5.335772671830795844e+00,0.000000000000000000e+00,2.732916539428299707e+00
7.171556331196957679e+00,-0.000000000000000000e+00,5.335767811601203725e+00,0.000000000000000000e+00,2.364296077225812809e+00
7.338336710992234835e+00,-0.000000000000000000e+00,5.336123914482661768e+00,0.000000000000000000e+00,4.026898099749907978e+00
7.505117090787512879e+00,-0.000000000000000000e+00,5.335707846224409856e+00,0.000000000000000000e+00,8.558215773473225596e+00
7.671897470582790923e+00,-0.000000000000000000e+00,5.335653352509882374e+00,0.000000000000000000e+00,1.783927566436254830e+00
7.838677850378068968e+00,-0.000000000000000000e+00,5.336006845595620440e+00,0.000000000000000000e+00,6.640034597373387193e+00
8.005458230173347900e+00,-0.000000000000000000e+00,5.336111204951645703e+00,0.000000000000000000e+00,2.164471546141914260e+01
8.172238609968626832e+00,-0.000000000000000000e+00,5.336219821850487044e+00,0.000000000000000000e+00,8.952264785611175668e+00
8.339018989763903988e+00,-0.000000000000000000e+00,5.336125702626219436e+00,0.000000000000000000e+00,6.504817560617572880e-01
8.505799369559182921e+00,-0.000000000000000000e+00,5.336530948337542490e+00,0.000000000000000000e+00,2.958060870319123570e+00
8.672579749354458301e+00,-0.000000000000000000e+00,5.336791956582683127e+00,0.000000000000000000e+00,3.492968693068888353e+00
8.839360129149737233e+00,-0.000000000000000000e+00,5.335835765429791877e+00,0.000000000000000000e+00,2.294569480470654010e+00
9.006140508945016165e+00,-0.000000000000000000e+00,5.336556753242589934e+00,0.000000000000000000e+00,2.011195140486036337e+01
9.172920888740293321e+00,-0.000000000000000000e+00,5.335997869695732199e+00,0.000000000000000000e+00,3.607334128385397687e+00
9.339701268535572254e+00,-0.000000000000000000e+00,5.336199668814022523e+00,0.000000000000000000e+00,2.012325100252219112e+00
9.506481648330849410e+00,-0.000000000000000000e+00,5.336320823796782520e+00,0.000000000000000000e+00,1.828788193112593108e+00
9.673262028126128342e+00,-0.000000000000000000e+00,5.336670101272550149e+00,0.000000000000000000e+00,2.287622750221051771e+00
9.840042407921405498e+00,-0.000000000000000000e+00,5.336392060193616338e+00,0.000000000000000000e+00,6.650755067704901435e+00
1.000682278771668443e+01,-0.000000000000000000e+00,5.336763019961011878e+00,0.000000000000000000e+00,1.642628563535420128e+01
1.017360316751196159e+01,-0.000000000000000000e+00,5.336598204279163760e+00,0.000000000000000000e+00,1.733707921327691359e+00
1.034038354730724052e+01,-0.000000000000000000e+00,5.336729887170090336e+00,0.000000000000000000e+00,5.207133305386732580e+00
1.050716392710251768e+01,-0.000000000000000000e+00,5.337331854713615265e+00,0.000000000000000000e+00,5.878081638297351752e+00
1.067394430689779661e+01,-0.000000000000000000e+00,5.336243906887001565e+00,0.000000000000000000e+00,3.283581519533462778e+00
1.084072468669307554e+01,-0.000000000000000000e+00,5.336279879404616899e+00,0.000000000000000000e+00,5.417173869276798115e+00
1.100750506648835270e+01,-0.000000000000000000e+00,5.336925374298341573e+00,0.000000000000000000e+00,5.054441173608684501e+00
1.117428544628363163e+01,-0.000000000000000000e+00,5.337095541218521255e+00,0.000000000000000000e+00,2.827630507511843305e+00
1.134106582607890878e+01,-0.000000000000000000e+00,5.337069445271855450e+00,0.000000000000000000e+00,1.430770274438495804e+01
1.150784620587418772e+01,-0.000000000000000000e+00,5.337227053897490414e+00,0.000000000000000000e+00,4.489204656496565526e+00
1.167462658566946487e+01,-0.000000000000000000e+00,5.337220470376131232e+00,0.000000000000000000e+00,4.111532132513887383e+00
1.184140696546474381e+01,-0.000000000000000000e+00,5.337870637569047005e+00,0.000000000000000000e+00,6.332815407227349702e+00
1.200818734526002096e+01,-0.000000000000000000e+00,5.336346135981149708e+00,0.000000000000000000e+00,5.983747555059673928e+00
1.217496772505529989e+01,-0.000000000000000000e+00,5.337099918415245448e+00,0.000000000000000000e+00,1.595342910305004125e+01
1.234174810485057705e+01,-0.000000000000000000e+00,5.337387421501730955e+00,0.000000000000000000e+00,2.174963657037799702e+00
1.250852848464585598e+01,-0.000000000000000000e+00,5.337233184517347517e+00,0.000000000000000000e+00,1.424807275654796923e+00
1.267530886444113492e+01,-0.000000000000000000e+00,5.337597638743150519e+00,0.000000000000000000e+00,7.618327537103205316e+00
1.284208924423641207e+01,-0.000000000000000000e+00,5.337624676108275956e+00,0.000000000000000000e+00,3.311895778492225162e+00
1.300886962403169100e+01,-0.000000000000000000e+00,5.336668737672408014e+00,0.000000000000000000e+00,3.414301241047593027e+00
1.317565000382696816e+01,-0.000000000000000000e+00,5.337442802859592383e+00,0.000000000000000000e+00,2.171649512115256808e+00
1.334243038362224709e+01,-0.000000000000000000e+00,5.337561509415285066e+00,0.000000000000000000e+00,1.374336813564176474e+01
1.350921076341752425e+01,-0.000000000000000000e+00,5.336505927217761958e+00,0.000000000000000000e+00,2.151813165443019482e+00
1.367599114321280318e+01,-0.000000000000000000e+00,5.337148336531059023e+00,0.000000000000000000e+00,1.684800113396028109e+01
1.384277152300808034e+01,-0.000000000000000000e+00,5.337560965560008697e+00,0.000000000000000000e+00,1.119128594340968874e+01
1.400955190280335927e+01,-0.000000000000000000e+00,5.337657065941750822e+00,0.000000000000000000e+00,8.701883311104340990e+00
1.417633228259863643e+01,-0.000000000000000000e+00,5.338736956377093001e+00,0.000000000000000000e+00,2.817178881900232579e+00
1.434311266239391536e+01,-0.000000000000000000e+00,5.337736891834828690e+00,0.000000000000000000e+00,7.546125726068141581e+00
1.450989304218919429e+01,-0.000000000000000000e+00,5.337614809630623292e+00,0.000000000000000000e+00,5.700480044903775578e+00
1.467667342198446967e+01,-0.000000000000000000e+00,5.336898665429039568e+00,0.000000000000000000e+00,3.039485102943968897e+01
1.484345380177974860e+01,-0.000000000000000000e+00,5.336593467841388438e+00,0.000000000000000000e+00,2.216427821435062562e+00
1.501023418157502576e+01,-0.000000000000000000e+00,5.337996538460697771e+00,0.000000000000000000e+00,8.542151818063898006e+00
1.517701456137030469e+01,-0.000000000000000000e+00,5.337568023103245629e+00,0.000000000000000000e+00,3.991537320239838316e+00
1.534379494116558185e+01,-0.000000000000000000e+00,5.336563587928504937e+00,0.000000000000000000e+00,1.410509230737813269e+01
1.551057532096086078e+01,-0.000000000000000000e+00,5.337176614756136139e+00,0.000000000000000000e+00,8.704646857252953396e+00
1.567735570075613794e+01,-0.000000000000000000e+00,5.337655160446104219e+00,0.000000000000000000e+00,1.348563896994130218e+01
1.584413608055141687e+01,-0.000000000000000000e+00,5.338363868448059435e+00,0.000000000000000000e+00,4.674282348140446963e+00
1.601091646034669580e+01,-0.000000000000000000e+00,5.337350558440394188e+00,0.000000000000000000e+00,9.261773046958426292e+00
1.617769684014197296e+01,-0.000000000000000000e+00,5.337654815523047880e+00,0.000000000000000000e+00,6.333988243540407126e+00
1.634447721993725366e+01,-0.000000000000000000e+00,5.337893602030085560e+00,0.000000000000000000e+00,7.172942573870431993e+00
1.651125759973253082e+01,-0.000000000000000000e+00,5.338380257060165945e+00,0.000000000000000000e+00,4.262517722805530873e+00
1.667803797952780798e+01,-0.000000000000000000e+00,5.338124110996101734e+00,0.000000000000000000e+00,2.378762361146263515e+01
1.684481835932308513e+01,-0.000000000000000000e+00,5.338782154755327802e+00,0.000000000000000000e+00,4.638160413635126211e+00
1.701159873911836584e+01,-0.000000000000000000e+00,5.338499871112143857e+00,0.000000000000000000e+00,3.456582975520263279e+00
1.717837911891364300e+01,-0.000000000000000000e+00,5.338109042809651150e+00,0.000000000000000000e+00,2.142646965107976698e+01
1.734515949870891660e+01,-0.000000000000000000e+00,5.338909221337197586e+00,0.000000000000000000e+00,9.912922923601966474e+00
1.751193987850419731e+01,-0.000000000000000000e+00,5.338337312915424349e+00,0.000000000000000000e+00,8.988515013219512184e+00
1.767872025829947447e+01,-0.000000000000000000e+00,5.338540596759327350e+00,0.000000000000000000e+00,1.173119265918755971e+01
1.784550063809475517e+01,-0.000000000000000000e+00,5.338935567311703601e+00,0.000000000000000000e+00,6.362166013750810478e+00
1.801228101789003233e+01,-0.000000000000000000e+00,5.338525191428217909e+00,0.000000000000000000e+00,9.885453485251519012e+00
1.817906139768530949e+01,-0.000000000000000000e+00,5.338721640542968494e+00,0.000000000000000000e+00,1.491326913131530674e+01
1.834584177748058664e+01,-0.000000000000000000e+00,5.339311201938010676e+00,0.000000000000000000e+00,1.478768369466275878e+01
1.851262215727586735e+01,-0.000000000000000000e+00,5.339193814808663952e+00,0.000000000000000000e+00,5.968967744752866622e+00
1.867940253707114451e+01,-0.000000000000000000e+00,5.339470677239174456e+00,0.000000000000000000e+00,3.409462830875433337e+00
1.884618291686642166e+01,-0.000000000000000000e+00,5.340364412768184188e+00,0.000000000000000000e+00,8.809651123994044042e+00
